sensor,day,time,longitude,latitude
HYPERPRO,20240809,084500,22.4034,36.0082
HYPERPRO,20240811,094700,16.4892,36.0321
HYPERPRO,20240812,105300,15.14,36.5683
HYPERPRO,20240813,094900,15.6445,36.8538
HYPERPRO,20240814,101100,15.4855,37.5818
HYPERPRO,20240815,100000,15.3814,38.5357
HYPERPRO,20240816,095800,13.6454,39.255
HYPERPRO,20240816,100500,13.6442,39.2546
Hyp,20240808,065700,23.229217,36.074617
Hyp,20240808,070000,23.223867,36.075917
Hyp,20240809,073700,22.401483,36.0163
Hyp,20240809,074500,22.400667,36.01495
Hyp,20240809,080000,22.4008,36.014333
Hyp,20240809,081500,22.4016,36.011833
Hyp,20240809,082400,22.401782999999998,36.0111
Hyp,20240809,083000,22.402183,36.010067
Hyp,20240809,090000,22.4035,36.007133
Hyp,20240809,091500,22.3931,36.0119
Hyp,20240809,093000,22.3853,36.0155
Hyp,20240809,155000,21.654567,36.0382
Hyp,20240809,161500,21.598767,36.036617
Hyp,20240810,064000,19.614683,35.977567
Hyp,20240810,073600,19.497817,35.983117
Hyp,20240810,110400,19.429983,35.909317
Hyp,20240810,110900,19.424367,35.90945
Hyp,20240810,111800,19.402033,35.909333
Hyp,20240810,113000,19.374117,35.909317
Hyp,20240810,114500,19.3462,35.9094
Hyp,20240810,120000,19.312733,35.90995
Hyp,20240810,123000,19.24585,35.910683
Hyp,20240810,124500,19.212333,35.911117
Hyp,20240810,131500,19.1341,35.9121
Hyp,20240810,133000,19.10065,35.912517
Hyp,20240810,134500,19.061617,35.913617
Hyp,20240810,143000,18.95565,35.915467
Hyp,20240810,144500,18.922217,35.9153
Hyp,20240810,151500,18.849783,35.915283
Hyp,20240810,154500,18.777167,35.915967
Hyp,20240810,163100,18.665833,35.92075
Hyp,20240811,074900,16.613517,36.048567
Hyp,20240811,075200,16.60795,36.0487
Hyp,20240811,080300,16.5912,36.049383
Hyp,20240811,091600,16.499767,36.0423
Hyp,20240811,111600,16.4092,36.04515
Hyp,20240812,095200,15.165133,36.586
Hyp,20240812,104500,15.143233,36.57005
Hyp,20240812,111500,15.129567,36.56835
Hyp,20240812,113400,15.132283,36.584083
Hyp,20240812,113700,15.134183,36.588333
Hyp,20240812,114500,15.140083,36.601033
Hyp,20240812,120000,15.1553,36.6225
Hyp,20240813,080100,15.532567,36.810317
Hyp,20240813,082000,15.573633,36.825183
Hyp,20240813,084000,15.621017,36.839983
Hyp,20240813,093100,15.642917,36.851
Hyp,20240813,094000,15.64365,36.852583
Hyp,20240813,100100,15.6452,36.854717
Hyp,20240813,102100,15.64745,36.85755
Hyp,20240813,111100,15.598983,36.922133
Hyp,20240813,132000,15.405917,37.1284
Hyp,20240813,133000,15.3928,37.143117
Hyp,20240813,134000,15.378417,37.15705
Hyp,20240813,135100,15.363683,37.170783
Hyp,20240813,140000,15.3524,37.180917
Hyp,20240813,141000,15.337183,37.194283
Hyp,20240813,142000,15.3218,37.2076
Hyp,20240813,143000,15.3064,37.220867
Hyp,20240813,144100,15.291433,37.23445
Hyp,20240813,151000,15.249217,37.273667
Hyp,20240813,154000,15.196733,37.301783
Hyp,20240813,155000,15.177283,37.301133
Hyp,20240814,071700,15.386483,37.4719
Hyp,20240814,080100,15.442,37.529217
Hyp,20240814,081100,15.455067,37.544
Hyp,20240814,083100,15.477967,37.569817
Hyp,20240814,095000,15.494167,37.589867
Hyp,20240814,100000,15.49075,37.586283
Hyp,20240814,101100,15.4845,37.581
Hyp,20240814,102100,15.48055,37.577767
Hyp,20240814,103000,15.48055,37.577767
Hyp,20240814,104000,15.47625,37.574817
Hyp,20240814,114100,15.5009,37.688733
Hyp,20240814,115100,15.507083,37.710817
Hyp,20240814,123100,15.527933,37.790367
Hyp,20240815,091000,15.38855,38.539567
Hyp,20240815,092000,15.3877,38.539233
Hyp,20240815,094500,15.3838,38.53715
Hyp,20240815,103000,15.376033,38.533067
Hyp,20240815,104100,15.366333,38.54425
Hyp,20240815,112000,15.33125,38.580033
Hyp,20240815,130000,15.2522,38.660433
Hyp,20240815,132000,15.237567,38.679867
Hyp,20240815,133000,15.232867,38.6881
Hyp,20240815,134200,15.2297,38.696783
Hyp,20240816,080100,13.74245,39.235433
Hyp,20240816,081000,13.725667,39.239267
Hyp,20240816,082000,13.714433,39.24175
Hyp,20240816,083100,13.697633,39.2455
Hyp,20240816,085100,13.669567,39.251667
Hyp,20240816,090000,13.656433,39.253733
Hyp,20240816,092100,13.65275,39.25445
Hyp,20240816,093100,13.6506,39.254583
Hyp,20240816,111100,13.595117,39.271867
Hyp,20240817,090600,12.062133,40.066233
Hyp,20240817,092100,12.0644,40.066633
Hyp,20240817,113100,11.95075,40.122617
Hyp,20240817,114100,11.929683,40.130783
Hyp,20240817,115100,11.91385,40.136883
Hyp,20240817,122100,11.86095,40.156883
Hyp,20240817,123100,11.839683,40.164683
Hyp,20240817,125100,11.802617,40.178817
Hyp,20240817,130100,11.782083,40.187733
Hyp,20240817,131100,11.766933,40.194767
Hyp,20240817,132100,11.746733,40.204117
Hyp_nosc,20240808,065700,23.229217,36.074617
Hyp_nosc,20240808,070000,23.223867,36.075917
Hyp_nosc,20240809,073700,22.401483,36.0163
Hyp_nosc,20240809,074500,22.400667,36.01495
Hyp_nosc,20240809,080000,22.4008,36.014333
Hyp_nosc,20240809,081500,22.4016,36.011833
Hyp_nosc,20240809,082400,22.401782999999998,36.0111
Hyp_nosc,20240809,083000,22.402183,36.010067
Hyp_nosc,20240809,090000,22.4035,36.007133
Hyp_nosc,20240809,091500,22.3931,36.0119
Hyp_nosc,20240809,093000,22.3853,36.0155
Hyp_nosc,20240809,155000,21.654567,36.0382
Hyp_nosc,20240809,161500,21.598767,36.036617
Hyp_nosc,20240810,064000,19.614683,35.977567
Hyp_nosc,20240810,073600,19.497817,35.983117
Hyp_nosc,20240810,110400,19.429983,35.909317
Hyp_nosc,20240810,110900,19.424367,35.90945
Hyp_nosc,20240810,111800,19.402033,35.909333
Hyp_nosc,20240810,113000,19.374117,35.909317
Hyp_nosc,20240810,114500,19.3462,35.9094
Hyp_nosc,20240810,120000,19.312733,35.90995
Hyp_nosc,20240810,123000,19.24585,35.910683
Hyp_nosc,20240810,124500,19.212333,35.911117
Hyp_nosc,20240810,131500,19.1341,35.9121
Hyp_nosc,20240810,133000,19.10065,35.912517
Hyp_nosc,20240810,134500,19.061617,35.913617
Hyp_nosc,20240810,143000,18.95565,35.915467
Hyp_nosc,20240810,144500,18.922217,35.9153
Hyp_nosc,20240810,151500,18.849783,35.915283
Hyp_nosc,20240810,154500,18.777167,35.915967
Hyp_nosc,20240810,163100,18.665833,35.92075
Hyp_nosc,20240811,074900,16.613517,36.048567
Hyp_nosc,20240811,075200,16.60795,36.0487
Hyp_nosc,20240811,080300,16.5912,36.049383
Hyp_nosc,20240811,091600,16.499767,36.0423
Hyp_nosc,20240811,111600,16.4092,36.04515
Hyp_nosc,20240812,095200,15.165133,36.586
Hyp_nosc,20240812,104500,15.143233,36.57005
Hyp_nosc,20240812,111500,15.129567,36.56835
Hyp_nosc,20240812,113400,15.132283,36.584083
Hyp_nosc,20240812,113700,15.134183,36.588333
Hyp_nosc,20240812,114500,15.140083,36.601033
Hyp_nosc,20240812,120000,15.1553,36.6225
Hyp_nosc,20240813,080100,15.532567,36.810317
Hyp_nosc,20240813,082000,15.573633,36.825183
Hyp_nosc,20240813,084000,15.621017,36.839983
Hyp_nosc,20240813,093100,15.642917,36.851
Hyp_nosc,20240813,094000,15.64365,36.852583
Hyp_nosc,20240813,100100,15.6452,36.854717
Hyp_nosc,20240813,102100,15.64745,36.85755
Hyp_nosc,20240813,111100,15.598983,36.922133
Hyp_nosc,20240813,132000,15.405917,37.1284
Hyp_nosc,20240813,133000,15.3928,37.143117
Hyp_nosc,20240813,134000,15.378417,37.15705
Hyp_nosc,20240813,135100,15.363683,37.170783
Hyp_nosc,20240813,140000,15.3524,37.180917
Hyp_nosc,20240813,141000,15.337183,37.194283
Hyp_nosc,20240813,142000,15.3218,37.2076
Hyp_nosc,20240813,143000,15.3064,37.220867
Hyp_nosc,20240813,144100,15.291433,37.23445
Hyp_nosc,20240813,151000,15.249217,37.273667
Hyp_nosc,20240813,154000,15.196733,37.301783
Hyp_nosc,20240813,155000,15.177283,37.301133
Hyp_nosc,20240814,071700,15.386483,37.4719
Hyp_nosc,20240814,080100,15.442,37.529217
Hyp_nosc,20240814,081100,15.455067,37.544
Hyp_nosc,20240814,083100,15.477967,37.569817
Hyp_nosc,20240814,095000,15.494167,37.589867
Hyp_nosc,20240814,100000,15.49075,37.586283
Hyp_nosc,20240814,101100,15.4845,37.581
Hyp_nosc,20240814,102100,15.48055,37.577767
Hyp_nosc,20240814,103000,15.48055,37.577767
Hyp_nosc,20240814,104000,15.47625,37.574817
Hyp_nosc,20240814,114100,15.5009,37.688733
Hyp_nosc,20240814,115100,15.507083,37.710817
Hyp_nosc,20240814,123100,15.527933,37.790367
Hyp_nosc,20240815,091000,15.38855,38.539567
Hyp_nosc,20240815,092000,15.3877,38.539233
Hyp_nosc,20240815,094500,15.3838,38.53715
Hyp_nosc,20240815,103000,15.376033,38.533067
Hyp_nosc,20240815,104100,15.366333,38.54425
Hyp_nosc,20240815,112000,15.33125,38.580033
Hyp_nosc,20240815,130000,15.2522,38.660433
Hyp_nosc,20240815,132000,15.237567,38.679867
Hyp_nosc,20240815,133000,15.232867,38.6881
Hyp_nosc,20240815,134200,15.2297,38.696783
Hyp_nosc,20240816,080100,13.74245,39.235433
Hyp_nosc,20240816,081000,13.725667,39.239267
Hyp_nosc,20240816,082000,13.714433,39.24175
Hyp_nosc,20240816,083100,13.697633,39.2455
