file_name,sensor_X,sensor_Y,var_name,comp_sensors,dateTime_X,dateTime_Y,Slope,Error,Bias,val_filter
HYPERNETS_vs_TRIOS_vs_20240814T071700_ED.csv,Hyp,TRIOS,ED,Hyp vs TRIOS,2024-08-14T05:17:00Z,2024-08-14T05:02:56Z,0.5,71.29,-71.29,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T151500_ED.csv,Hyp,TRIOS,ED,Hyp vs TRIOS,2024-08-10T13:15:00Z,2024-08-10T13:02:18Z,1.16,23.67,23.67,Manual image check
HYPERNETS_vs_TRIOS_vs_20240808T065700_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-08T04:57:00Z,2024-08-08T04:54:45Z,0.69,89.58,-89.58,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T124500_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-10T10:45:00Z,2024-08-10T10:46:02Z,0.77,51.81,-51.81,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240812T104500_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-12T08:45:00Z,2024-08-12T08:45:36Z,0.71,55.22,-55.22,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T080100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T06:01:00Z,2024-08-13T06:02:49Z,0.73,57.82,-57.82,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T082000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T06:20:00Z,2024-08-13T06:18:14Z,0.67,76.94,-76.94,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T084000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T06:40:00Z,2024-08-13T06:39:24Z,0.66,74.66,-74.66,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T093100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T07:31:00Z,2024-08-13T07:28:34Z,0.51,121.52,-121.52,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T094000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T07:40:00Z,2024-08-13T07:38:57Z,0.49,133.19,-133.19,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T100100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T08:01:00Z,2024-08-13T08:02:54Z,0.69,62.25,-62.25,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T102100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T08:21:00Z,2024-08-13T08:18:05Z,0.64,77.5,-77.5,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T151000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-13T13:10:00Z,2024-08-13T13:08:20Z,0.83,73.34,-73.34,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240814T114100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-14T09:41:00Z,2024-08-14T09:44:34Z,0.7,71.94,-71.94,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240815T091000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-15T07:10:00Z,2024-08-15T07:07:50Z,0.58,119.2,-119.2,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240815T092000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-15T07:20:00Z,2024-08-15T07:18:00Z,0.46,237.21,-237.21,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240815T094500_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-15T07:45:00Z,2024-08-15T07:45:24Z,0.5,172.76,-172.76,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240816T080100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-16T06:01:00Z,2024-08-16T06:02:37Z,0.72,66.87,-66.87,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240816T081000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-16T06:10:00Z,2024-08-16T06:08:14Z,0.73,60.41,-60.41,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240816T082000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-16T06:20:00Z,2024-08-16T06:18:50Z,0.7,70.08,-70.08,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240816T083100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-16T06:31:00Z,2024-08-16T06:29:04Z,0.7,68.59,-68.59,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240816T085100_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-16T06:51:00Z,2024-08-16T06:49:30Z,0.72,58.02,-58.02,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240816T090000_LD.csv,Hyp,TRIOS,LD,Hyp vs TRIOS,2024-08-16T07:00:00Z,2024-08-16T07:02:33Z,0.69,69.35,-69.35,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T120000_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-10T10:00:00Z,2024-08-10T10:02:35Z,1.01,50.42,-50.42,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T131500_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-10T11:15:00Z,2024-08-10T11:13:07Z,1.1,66.96,-66.96,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T144500_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-10T12:45:00Z,2024-08-10T12:44:14Z,1.09,98.34,-98.34,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240812T104500_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-12T08:45:00Z,2024-08-12T08:45:36Z,1.02,52.44,-52.44,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240812T120000_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-12T10:00:00Z,2024-08-12T10:02:32Z,0.93,54.73,-54.73,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T082000_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-13T06:20:00Z,2024-08-13T06:18:14Z,1.22,56.31,-56.31,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240813T144100_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-13T12:41:00Z,2024-08-13T12:42:50Z,0.93,108.94,-108.94,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240815T092000_LU.csv,Hyp,TRIOS,LU,Hyp vs TRIOS,2024-08-15T07:20:00Z,2024-08-15T07:18:00Z,0.92,53.24,-53.24,Bias <= -50%
HYPERNETS_vs_TRIOS_vs_20240810T073600_LW.csv,Hyp,TRIOS,LW,Hyp vs TRIOS,2024-08-10T05:36:00Z,2024-08-10T05:33:54Z,0.96,98.78,-98.78,Bias <= -50%
