var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
ED,HYPERNETS,TRIOS,380,55,53,53,53,0.9471,0.9648,0.9205,0.9555,0.9918,-1.097419,20.091788,40.505308,NA,TRUE,FALSE,20.158811,17.707601,3.2381,-0.036004,-0.017296,0.009672,0.017081,0.029659,0.042164,-3.7349,-1.76,0.9672,1.7085,3.0565,4.3306
ED,TRIOS,HYPERNETS,380,55,53,53,53,1.0373000000000001,1.0218,1.0083,1.0466,1.0863,-44.002223,-21.027346,1.106475,NA,TRUE,FALSE,20.158811,17.707601,3.2393,-0.009579,0.0176,0.037349,0.017085,0.030565,0.043306,-0.9672,1.76,3.7349,1.7085,3.0565,4.3306
ED,HYPERNETS,TRIOS,381,55,53,53,53,0.9581,0.9648,0.9318,0.9661,1.0018,-0.805497,19.5118,39.1063,NA,FALSE,FALSE,17.99057,14.638016,2.8406,-0.024216,-0.007303,0.023039,0.012326,0.023803,0.0356,-2.4817,-0.7356,2.3039,1.2479,2.3803,3.6914
ED,TRIOS,HYPERNETS,381,55,53,53,53,1.0264,1.0225,0.9982,1.035,1.0732,-41.970004,-20.195652,0.804068,NA,FALSE,FALSE,17.99057,14.638016,2.7822,-0.02252,0.007356,0.024817,0.012466,0.023252,0.036378,-2.3039,0.7356,2.4817,1.2479,2.3803,3.6914
ED,HYPERNETS,TRIOS,382,55,53,53,53,1.0308,0.9662,1.0026,1.0394,1.0775,-1.812319,18.172188,37.449436,NA,TRUE,FALSE,42.437448,38.810437,7.7182,0.046308,0.065529,0.096952,0.046308,0.065529,0.096952,4.6308,6.5529,9.6952,4.6308,6.5529,9.6952
ED,TRIOS,HYPERNETS,382,55,53,53,53,0.9542,1.0211,0.9281,0.9621,0.9974,-37.352432,-17.483663,1.681944,NA,TRUE,FALSE,42.437448,38.810437,7.0462,-0.088383,-0.061499,-0.044258,0.044258,0.061499,0.088383,-9.6952,-6.5529,-4.6308,4.6308,6.5529,9.6952
ED,HYPERNETS,TRIOS,383,55,53,53,53,1.0666,0.9662,1.0373000000000001,1.0755,1.1151,-2.007916,17.973048,37.244709,NA,TRUE,FALSE,59.061177,56.078495,11.4314,0.083921,0.101321,0.134445,0.083921,0.101321,0.134445,8.3921,10.1321,13.4445,8.3921,10.1321,13.4445
ED,TRIOS,HYPERNETS,383,55,53,53,53,0.9221,1.0213,0.8968,0.9298,0.964,-35.905047,-16.711497,1.800702,NA,TRUE,FALSE,59.061177,56.078495,10.1447,-0.118512,-0.091999,-0.077424,0.077424,0.091999,0.118512,-13.4445,-10.1321,-8.3921,8.3921,10.1321,13.4445
ED,HYPERNETS,TRIOS,384,55,53,53,53,1.0604,0.9659,1.0311,1.0695,1.1094,-2.153043,17.993381,37.416295,NA,TRUE,FALSE,56.230411,53.157271,10.8339,0.07903,0.095382,0.130431,0.07903,0.095382,0.130431,7.903,9.5382,13.0431,7.903,9.5382,13.0431
ED,TRIOS,HYPERNETS,384,55,53,53,53,0.927,1.0214,0.9014,0.935,0.9698,-36.286736,-16.823498,1.940764,NA,TRUE,FALSE,56.230411,53.157271,9.6595,-0.115382,-0.087077,-0.073242,0.073242,0.087077,0.115382,-13.0431,-9.5382,-7.903,7.903,9.5382,13.0431
