var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
LU,HYPERNETS,TRIOS,380,55,46,46,46,0.9527,0.9168,0.9118,0.9981,1.0927,-0.148027,0.597715,1.278908,NA,FALSE,FALSE,0.851426,0.737747,9.9793,0.046919,0.080264,0.10895,0.059011,0.081602,0.113635,4.6919,8.0264,10.8939,6.0479,8.1602,11.3635
LU,TRIOS,HYPERNETS,380,55,46,46,46,0.9562,0.9872,0.9151,1.0019,1.0968,-1.402694,-0.598824,0.135465,NA,FALSE,FALSE,0.851426,0.737747,8.8694,-0.098229,-0.0743,-0.044816,0.057224,0.075445,0.102039,-10.8939,-8.0264,-4.6919,6.0479,8.1602,11.3635
LU,HYPERNETS,TRIOS,381,55,46,46,46,0.9911,0.9252,0.9484,1.0375,1.135,-0.204126,0.53287,1.206573,NA,FALSE,FALSE,1.014083,0.889242,12.4708,0.08348,0.113256,0.147806,0.0936,0.113256,0.147806,8.3466,11.3256,14.7805,9.36,11.3435,14.7805
LU,TRIOS,HYPERNETS,381,55,46,46,46,0.9207,0.9807,0.8811,0.9638,1.0544,-1.272189,-0.513597,0.179847,NA,FALSE,FALSE,1.014083,0.889242,10.7375,-0.128771,-0.101734,-0.077023,0.085589,0.101878,0.128771,-14.7805,-11.3256,-8.3466,9.36,11.3435,14.7805
LU,HYPERNETS,TRIOS,382,55,46,46,46,1.0402,0.9244,0.9954,1.0872,1.1875,-0.16188,0.551653,1.204929,NA,FALSE,FALSE,1.311523,1.181264,17.3884,0.137501,0.169596,0.202542,0.137501,0.169596,0.202542,13.7493,16.9596,20.2542,13.7493,16.9596,20.2542
LU,TRIOS,HYPERNETS,382,55,46,46,46,0.8801,0.9856,0.8421,0.9198,1.0046,-1.210532,-0.507415,0.136325,NA,FALSE,FALSE,1.311523,1.181264,14.3015,-0.168427,-0.145004,-0.120868,0.120868,0.145004,0.168427,-20.2542,-16.9596,-13.7493,13.7493,16.9596,20.2542
LU,HYPERNETS,TRIOS,383,55,46,46,46,1.0626,0.9237,1.0168,1.1113,1.2146,-0.16608,0.550371,1.205894,NA,TRUE,FALSE,1.450903,1.329278,19.9619,0.164601,0.195578,0.227666,0.164601,0.195578,0.227666,16.4598,19.5578,22.7666,16.4598,19.5578,22.7666
LU,TRIOS,HYPERNETS,383,55,46,46,46,0.8604,0.9848,0.8233,0.8998,0.9835,-1.18594,-0.495234,0.136733,NA,TRUE,FALSE,1.450903,1.329278,16.1206,-0.185446,-0.163584,-0.141333,0.141333,0.163584,0.185446,-22.7666,-19.5578,-16.4598,16.4598,19.5578,22.7666
LU,HYPERNETS,TRIOS,384,55,46,46,46,1.0538,0.923,1.0084,1.1021,1.2044,-0.159477,0.553534,1.205944,NA,TRUE,FALSE,1.39579,1.27362,19.0934,0.156385,0.185268,0.216709,0.156385,0.185268,0.216709,15.6384,18.5268,21.6709,15.6384,18.5268,21.6709
LU,TRIOS,HYPERNETS,384,55,46,46,46,0.8676,0.9855,0.8303,0.9074,0.9917,-1.195897,-0.502268,0.132408,NA,TRUE,FALSE,1.39579,1.27362,15.5229,-0.178111,-0.156309,-0.135235,0.135235,0.156309,0.178111,-21.6709,-18.5268,-15.6384,15.6384,18.5268,21.6709
LU,HYPERNETS,TRIOS,385,55,46,46,46,1.0438,0.924,0.9989,1.0927,1.1953,-0.189612,0.530393,1.18861,NA,FALSE,FALSE,1.321178,1.193434,17.8011,0.140971,0.173957,0.206251,0.140971,0.173957,0.206251,14.0966,17.3957,20.6249,14.0966,17.3957,20.6249
LU,TRIOS,HYPERNETS,385,55,46,46,46,0.8742,0.9832,0.8366,0.9152,1.0011,-1.189868,-0.48539,0.158633,NA,FALSE,FALSE,1.321178,1.193434,14.6081,-0.170982,-0.14818,-0.123545,0.123545,0.14818,0.170982,-20.6249,-17.3957,-14.0966,14.0966,17.3957,20.6249
LU,HYPERNETS,TRIOS,386,55,46,46,46,1.0074,0.9217,0.9642,1.0554,1.1553,-0.164998,0.567524,1.236708,NA,FALSE,FALSE,1.143172,1.004875,14.5151,0.104778,0.133992,0.170216,0.104778,0.133992,0.170216,10.4772,13.3991,17.0216,10.4772,13.3991,17.0216
LU,TRIOS,HYPERNETS,386,55,46,46,46,0.9044,0.9846,0.8656,0.9475,1.0372,-1.282681,-0.537726,0.142817,NA,FALSE,FALSE,1.143172,1.004875,12.2142,-0.145456,-0.118159,-0.094831,0.094831,0.118159,0.145456,-17.0216,-13.3991,-10.4772,10.4772,13.3991,17.0216
