var_name,n_base,diff_time_window,sensor_X,sensor_Y,Wavelength_nm,n,Slope,RMSE,MAPE,Bias,Error
LU,67,20,HYPERNETS,TRIOS,400,67,0.14,8.9651,42.9,-68.8,68.8
LU,67,20,HYPERNETS,TRIOS,412,67,0.16,8.752,34.5,-45.8,45.8
LU,67,20,HYPERNETS,TRIOS,443,67,0.15,8.3665,26.2,-22.7,22.7
LU,67,20,HYPERNETS,TRIOS,490,67,0.12,7.1783,29.5,11.1,28.5
LU,67,20,HYPERNETS,TRIOS,510,67,0.08,7.5597,74.1,68.6,84.2
LU,67,20,HYPERNETS,TRIOS,560,67,0.05,8.4846,173.5,182.1,182.1
LU,67,20,HYPERNETS,TRIOS,620,67,0.03,8.9455,378.9,362.3,362.3
LU,67,20,HYPERNETS,TRIOS,673,67,0.02,8.6363,477.7,433.8,433.8
LU,9,20,HYPERNETS,HYPERPRO,400,9,1.57,3.6004,22.6,27,27
LU,9,20,HYPERNETS,HYPERPRO,412,9,1.56,5.8433,35.7,39.4,39.4
LU,9,20,HYPERNETS,HYPERPRO,443,9,1.5,6.7591,42.9,45.7,45.7
LU,9,20,HYPERNETS,HYPERPRO,490,9,0,4.1795,34.9,38.7,38.7
LU,9,20,HYPERNETS,HYPERPRO,510,9,0.03,1.8225,23.6,32.6,32.6
LU,9,20,HYPERNETS,HYPERPRO,560,9,0.16,0.662,11.2,-1.6,6.7
LU,9,20,HYPERNETS,HYPERPRO,620,9,0.01,1.4425,65.7,-190.8,190.8
LU,9,20,HYPERNETS,HYPERPRO,673,9,0.01,1.3102,79.9,-420.7,420.7
LU,7,20,TRIOS,HYPERPRO,400,7,3.33,8.2355,81.5,89,89
LU,7,20,TRIOS,HYPERPRO,412,7,3.23,9.3673,74.6,82.5,82.5
LU,7,20,TRIOS,HYPERPRO,443,7,2.81,8.2407,57.6,64,64
LU,7,20,TRIOS,HYPERPRO,490,7,1.81,1.0956,6.7,7.9,7.9
LU,7,20,TRIOS,HYPERPRO,510,7,0.79,5.7867,38.8,-63,63
LU,7,20,TRIOS,HYPERPRO,560,7,0.35,10.7449,74.2,-294.1,294.1
LU,7,20,TRIOS,HYPERPRO,620,7,0.08,12.9026,95.2,-1977.4,1977.4
LU,7,20,TRIOS,HYPERPRO,673,7,0.04,12.5034,97.8,-4429.9,4429.9
