var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,sensor_X,sensor_Y,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
LW,55,39,39,39,HYPERNETS,TRIOS,380,0.72,0.76,-0.91,7.37,0.840568,0.620567,10.25
LW,55,39,39,39,TRIOS,HYPERNETS,380,1.13,1.05,0.91,7.37,0.840568,0.620567,9.97
LW,55,39,39,39,HYPERNETS,TRIOS,381,0.75,0.76,1.69,7.04,0.804991,0.596814,10.73
LW,55,39,39,39,TRIOS,HYPERNETS,381,1.09,1.04,-1.69,7.04,0.804991,0.596814,9.91
LW,55,39,39,39,HYPERNETS,TRIOS,382,0.78,0.76,6.81,8.43,0.84205,0.666122,13.25
LW,55,39,39,39,TRIOS,HYPERNETS,382,1.04,1.05,-6.81,8.43,0.84205,0.666122,11.32
LW,55,39,39,39,HYPERNETS,TRIOS,383,0.8,0.76,9.12,9.93,0.885631,0.716472,14.67
LW,55,39,39,39,TRIOS,HYPERNETS,383,1.02,1.05,-9.12,9.93,0.885631,0.716472,12.21
LW,55,39,39,39,HYPERNETS,TRIOS,384,0.8,0.76,8.23,10.17,0.862805,0.691619,14.07
LW,55,39,39,39,TRIOS,HYPERNETS,384,1.03,1.05,-8.23,10.17,0.862805,0.691619,11.79
LW,55,39,39,39,HYPERNETS,TRIOS,385,0.79,0.76,7.36,8.96,0.843566,0.668851,13.41
LW,55,39,39,39,TRIOS,HYPERNETS,385,1.04,1.06,-7.36,8.96,0.843566,0.668851,11.36
LW,55,39,39,39,HYPERNETS,TRIOS,386,0.77,0.76,4.66,7.52,0.796167,0.605057,11.39
LW,55,39,39,39,TRIOS,HYPERNETS,386,1.07,1.05,-4.66,7.52,0.796167,0.605057,10.07
LW,55,39,39,39,HYPERNETS,TRIOS,387,0.76,0.77,3.73,7.77,0.79653,0.600108,10.96
LW,55,39,39,39,TRIOS,HYPERNETS,387,1.08,1.06,-3.73,7.77,0.79653,0.600108,9.78
LW,55,39,39,39,HYPERNETS,TRIOS,388,0.76,0.76,2.93,6.78,0.802388,0.598452,10.6
LW,55,39,39,39,TRIOS,HYPERNETS,388,1.09,1.05,-2.93,6.78,0.802388,0.598452,9.58
LW,55,39,39,39,HYPERNETS,TRIOS,389,0.72,0.76,-1.55,6.39,0.853738,0.634795,9.83
LW,55,39,39,39,TRIOS,HYPERNETS,389,1.14,1.06,1.55,6.39,0.853738,0.634795,9.65
LW,55,39,39,39,HYPERNETS,TRIOS,390,0.72,0.77,-1.98,6.44,0.85641,0.64139,9.71
LW,55,39,39,39,TRIOS,HYPERNETS,390,1.14,1.06,1.98,6.44,0.85641,0.64139,9.61
LW,55,39,39,39,HYPERNETS,TRIOS,391,0.73,0.76,-0.69,6.8,0.848275,0.62417,9.7
LW,55,39,39,39,TRIOS,HYPERNETS,391,1.13,1.06,0.69,6.8,0.848275,0.62417,9.34
LW,55,39,39,39,HYPERNETS,TRIOS,392,0.75,0.76,1.78,6.88,0.836472,0.617178,10.06
LW,55,39,39,39,TRIOS,HYPERNETS,392,1.11,1.06,-1.78,6.88,0.836472,0.617178,9.32
LW,55,39,39,39,HYPERNETS,TRIOS,393,0.77,0.76,4.51,7.38,0.86397,0.652613,11.1
LW,55,39,39,39,TRIOS,HYPERNETS,393,1.08,1.06,-4.51,7.38,0.86397,0.652613,9.79
LW,55,39,39,39,HYPERNETS,TRIOS,394,0.78,0.76,6.45,8.05,0.92265,0.722526,12.43
LW,55,39,39,39,TRIOS,HYPERNETS,394,1.06,1.06,-6.45,8.05,0.92265,0.722526,10.68
