var_name,n_clean,n_no_out,n_w_nm,sensor_X,sensor_Y,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,29,24,24,HYPERNETS,AQUA,412,1.47,1.3,27.73,27.73,0.008788,0.007342,27.71
RHOW,29,24,24,AQUA,HYPERNETS,412,0.22,0.29,-27.73,27.73,0.008788,0.007342,20.31
RHOW,29,24,24,HYPERNETS,AQUA,443,0.92,1.07,-9.39,9.39,0.00469,0.003897,12.08
RHOW,29,24,24,AQUA,HYPERNETS,443,0.5,0.46,9.39,9.39,0.00469,0.003897,14.72
RHOW,29,24,24,HYPERNETS,AQUA,488,0.21,0.32,-14.09,14.09,0.003739,0.003097,13.65
RHOW,29,24,24,AQUA,HYPERNETS,488,0.2,0.23,14.09,14.09,0.003739,0.003097,16.98
RHOW,29,24,24,HYPERNETS,AQUA,531,-0.12,-0.13,-41.99,41.99,0.002928,0.002369,25.02
RHOW,29,24,24,AQUA,HYPERNETS,531,-0.33,-0.18,41.99,41.99,0.002928,0.002369,39.1
RHOW,27,27,25,TRIOS,AQUA,412,2.77,2.44,35.4,35.4,0.009463,0.008841,34.2
RHOW,27,27,25,AQUA,TRIOS,412,0.29,0.33,-35.4,35.4,0.009463,0.008841,25.44
RHOW,27,27,27,TRIOS,AQUA,443,1.39,1.65,-6.66,6.66,0.003012,0.002403,8.05
RHOW,27,27,27,AQUA,TRIOS,443,0.62,0.53,6.66,6.66,0.003012,0.002403,9.53
RHOW,27,27,27,TRIOS,AQUA,488,1.3,1.56,-8.04,8.04,0.002276,0.001904,9.16
RHOW,27,27,27,AQUA,TRIOS,488,0.48,0.41,8.04,8.04,0.002276,0.001904,10.68
RHOW,27,27,27,TRIOS,AQUA,531,0.3,0.43,-15.06,15.06,0.001524,0.001241,16.03
RHOW,27,27,27,AQUA,TRIOS,531,0.15,0.14,15.06,15.06,0.001524,0.001241,21.03
RHOW,2,2,2,HYPERPRO,AQUA,412,4.78,4.43,5.99,30.27,0.007107,0.006578,28.36
RHOW,2,2,2,AQUA,HYPERPRO,412,0.21,0.23,-5.99,30.27,0.007107,0.006578,25.25
RHOW,2,2,2,HYPERPRO,AQUA,443,2.12,2.56,-22,22,0.005278,0.004377,17.1
RHOW,2,2,2,AQUA,HYPERPRO,443,0.47,0.39,22,22,0.005278,0.004377,23.38
RHOW,2,2,2,HYPERPRO,AQUA,488,3.29,3.89,-18.92,18.92,0.00344,0.002837,15.22
RHOW,2,2,2,AQUA,HYPERPRO,488,0.3,0.26,18.92,18.92,0.00344,0.002837,19.89
RHOW,2,2,2,HYPERPRO,AQUA,531,-4.82,-6.44,-34.12,34.12,0.002159,0.001897,24.34
RHOW,2,2,2,AQUA,HYPERPRO,531,-0.21,-0.16,34.12,34.12,0.002159,0.001897,36.09
