var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,HYPERNETS,S3A,5,5,5,5,400,1.22,1.28,8.53,8.53,0.005467,0.004548,15.22
RHOW,S3A,HYPERNETS,5,5,5,5,400,0.48,0.51,-8.53,8.53,0.005467,0.004548,12.7
RHOW,HYPERNETS,S3A,5,5,5,5,412,1.19,1.27,4.38,8.05,0.004305,0.003376,11.43
RHOW,S3A,HYPERNETS,5,5,5,5,412,0.53,0.55,-4.38,8.05,0.004305,0.003376,9.91
RHOW,HYPERNETS,S3A,5,5,5,5,442,1.15,1.18,2.06,2.95,0.003071,0.002179,8.12
RHOW,S3A,HYPERNETS,5,5,5,5,442,0.55,0.59,-2.06,2.95,0.003071,0.002179,7.06
RHOW,HYPERNETS,S3A,5,5,5,5,490,0.74,0.82,-1.29,4.71,0.001559,0.001253,7.03
RHOW,S3A,HYPERNETS,5,5,5,5,490,0.34,0.37,1.29,4.71,0.001559,0.001253,6.47
RHOW,HYPERNETS,S3A,5,5,5,5,510,-0.03,-0.01,2.57,5.53,0.00116,8.92e-4,9.51
RHOW,S3A,HYPERNETS,5,5,5,5,510,-0.02,-0,-2.57,5.53,0.00116,8.92e-4,8.34
RHOW,HYPERNETS,S3A,5,5,5,5,560,-0.19,-0.18,-2.06,9.88,4.44e-4,3.91e-4,9.48
RHOW,S3A,HYPERNETS,5,5,5,5,560,-0.41,-0.41,2.06,9.88,4.44e-4,3.91e-4,9.25
RHOW,HYPERNETS,S3A,5,5,5,5,620,-0.3,-0.31,7.98,13.37,2.21e-4,1.66e-4,21.57
RHOW,S3A,HYPERNETS,5,5,5,5,620,-0.76,-0.8,-7.98,13.37,2.21e-4,1.66e-4,20.55
RHOW,HYPERNETS,S3A,5,5,5,5,665,-0.53,-0.66,-13.43,59.06,1.92e-4,1.57e-4,31.71
RHOW,S3A,HYPERNETS,5,5,5,5,665,-0.94,-0.84,13.43,59.06,1.92e-4,1.57e-4,40.59
RHOW,HYPERNETS,S3A,5,5,5,5,673,-0.16,-0.21,-13.19,29.15,1.55e-4,1.23e-4,24.31
RHOW,S3A,HYPERNETS,5,5,5,5,673,-0.39,-0.31,13.19,29.15,1.55e-4,1.23e-4,33.74
RHOW,HYPERNETS,S3A,5,5,5,5,681,-0.19,-0.27,-7.56,7.56,1.55e-4,1.08e-4,20.88
RHOW,S3A,HYPERNETS,5,5,5,5,681,-0.65,-0.49,7.56,7.56,1.55e-4,1.08e-4,35.18
RHOW,HYPERNETS,S3B,5,5,5,5,400,-0.78,-0.57,2.86,2.86,0.011874,0.007223,26.72
RHOW,S3B,HYPERNETS,5,5,5,5,400,-0.61,-0.87,-2.86,2.86,0.011874,0.007223,15.77
RHOW,HYPERNETS,S3B,5,5,5,5,412,-0.82,-0.63,-0.75,2.1,0.010453,0.006136,22.52
RHOW,S3B,HYPERNETS,5,5,5,5,412,-0.67,-0.91,0.75,2.1,0.010453,0.006136,13.83
RHOW,HYPERNETS,S3B,5,5,5,5,442,-1.07,-0.84,-1.25,2.61,0.008397,0.004937,20.04
RHOW,S3B,HYPERNETS,5,5,5,5,442,-0.64,-0.86,1.25,2.61,0.008397,0.004937,12.87
RHOW,HYPERNETS,S3B,5,5,5,5,490,-1.82,-1.44,-7.21,9.7,0.006102,0.004041,23.76
RHOW,S3B,HYPERNETS,5,5,5,5,490,-0.44,-0.58,7.21,9.7,0.006102,0.004041,16.32
RHOW,HYPERNETS,S3B,5,5,5,5,510,-3.09,-2.19,-11.75,16.74,0.005306,0.003449,38.79
RHOW,S3B,HYPERNETS,5,5,5,5,510,-0.26,-0.39,11.75,16.74,0.005306,0.003449,23.01
RHOW,HYPERNETS,S3B,5,5,5,5,560,-4.77,-2.95,-22.54,24.1,0.003837,0.002389,63.38
RHOW,S3B,HYPERNETS,5,5,5,5,560,-0.15,-0.27,22.54,24.1,0.003837,0.002389,32.6
RHOW,HYPERNETS,S3B,5,5,5,5,620,-7.4,-3.52,-110.52,135.76,0.002567,0.001561,214.29
RHOW,S3B,HYPERNETS,5,5,5,5,620,-0.05,-0.17,110.52,135.76,0.002567,0.001561,119.09
RHOW,HYPERNETS,S3B,5,5,5,4,665,-7.1,-4.83,-174.94,973.12,0.00221,0.001408,332.2
RHOW,S3B,HYPERNETS,5,5,5,4,665,-0.04,-0.13,174.94,973.12,0.00221,0.001408,517.46
RHOW,HYPERNETS,S3B,5,5,5,5,673,-8.58,-4.65,-248.22,313.52,0.001873,0.001135,274.13
RHOW,S3B,HYPERNETS,5,5,5,5,673,-0.05,-0.14,248.22,313.52,0.001873,0.001135,336.07
RHOW,HYPERNETS,S3B,5,5,5,5,681,-9.11,-6.08,-483.51,600.08,0.001805,0.001107,277.01
RHOW,S3B,HYPERNETS,5,5,5,5,681,-0.04,-0.11,483.51,600.08,0.001805,0.001107,832.87
RHOW,TRIOS,S3A,3,3,3,3,400,2.4,2.36,16.63,16.63,0.004923,0.004817,15.7
RHOW,S3A,TRIOS,3,3,3,3,400,0.42,0.42,-16.63,16.63,0.004923,0.004817,14.68
RHOW,TRIOS,S3A,3,3,3,3,412,1.98,2,10.7,12.35,0.003653,0.003642,12.05
RHOW,S3A,TRIOS,3,3,3,3,412,0.5,0.5,-10.7,12.35,0.003653,0.003642,11.91
RHOW,TRIOS,S3A,3,3,3,3,442,1.67,1.68,7.1,7.81,0.002158,0.002155,7.85
RHOW,S3A,TRIOS,3,3,3,3,442,0.6,0.59,-7.1,7.81,0.002158,0.002155,7.78
RHOW,TRIOS,S3A,3,3,3,3,490,1.98,2.02,4.52,4.65,0.001083,0.001056,5.77
RHOW,S3A,TRIOS,3,3,3,3,490,0.5,0.49,-4.52,4.65,0.001083,0.001056,5.88
RHOW,TRIOS,S3A,3,3,3,3,510,2.67,2.69,1.55,6.34,8.23e-4,6.96e-4,6.65
RHOW,S3A,TRIOS,3,3,3,3,510,0.27,0.26,-1.55,6.34,8.23e-4,6.96e-4,7.07
RHOW,TRIOS,S3A,3,3,3,3,560,1.3,1.21,5.84,5.84,2.4e-4,2.29e-4,5.53
RHOW,S3A,TRIOS,3,3,3,3,560,0.53,0.54,-5.84,5.84,2.4e-4,2.29e-4,5.3
RHOW,TRIOS,S3A,3,3,3,3,620,0.91,0.49,48.38,48.38,3.26e-4,3.2e-4,70.79
RHOW,S3A,TRIOS,3,3,3,3,620,0.93,1.55,-48.38,48.38,3.26e-4,3.2e-4,39.51
RHOW,TRIOS,S3A,3,3,3,3,665,1.38,0.71,66.96,66.96,2.13e-4,2.07e-4,86.41
RHOW,S3A,TRIOS,3,3,3,3,665,0.71,1.36,-66.96,66.96,2.13e-4,2.07e-4,45.13
RHOW,TRIOS,S3A,3,3,3,3,673,0.74,0.42,40.79,40.79,1.3e-4,1.25e-4,66.75
RHOW,S3A,TRIOS,3,3,3,3,673,1.27,2.05,-40.79,40.79,1.3e-4,1.25e-4,35.65
RHOW,TRIOS,S3A,3,3,3,3,681,0.8,0.57,37.33,37.33,9.5e-5,9.3e-5,43.99
RHOW,S3A,TRIOS,3,3,3,3,681,1.25,1.76,-37.33,37.33,9.5e-5,9.3e-5,28.61
RHOW,TRIOS,S3B,10,10,10,10,400,-1.59,-1.23,15.61,15.61,0.010606,0.008021,24.76
RHOW,S3B,TRIOS,10,10,10,10,400,-0.18,-0.23,-15.61,15.61,0.010606,0.008021,17.56
RHOW,TRIOS,S3B,10,10,10,10,412,-1.51,-1.21,11.2,11.2,0.009051,0.006379,19.93
RHOW,S3B,TRIOS,10,10,10,10,412,-0.18,-0.22,-11.2,11.2,0.009051,0.006379,14.41
RHOW,TRIOS,S3B,10,10,10,10,442,-1.1,-0.87,9.98,9.98,0.007396,0.005152,18.44
