var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS,VIIRS_N,410,33,33,33,33,0.8254,0.8092,0.9069,1.1732,1.5176,-0.015102,-0.003784,0.004965,NA,FALSE,FALSE,0.005603,0.004336,14.5727,-0.031557,0.034898,0.197392,0.034898,0.121256,0.206872,-3.2586,3.4898,19.7392,3.4898,13.1584,20.8838
RHOW,VIIRS_N,HYPERNETS,410,33,33,33,33,0.5997,0.5865,0.6589,0.8524,1.1027,-0.005475,0.003225,0.009951,NA,FALSE,FALSE,0.005603,0.004336,13.0193,-0.164852,-0.033722,0.032586,0.033722,0.116283,0.205201,-19.7392,-3.4898,3.2586,3.4898,13.1584,20.8838
RHOW,HYPERNETS,VIIRS_N,443,33,33,33,33,0.7103,0.7214,0.8429,1.1136,1.4712,-0.012438,-0.002086,0.005749,NA,FALSE,FALSE,0.004252,0.0032,11.8616,-0.053941,9.35e-4,0.145827,0.026457,0.087575,0.154185,-5.7016,0.0935,14.5827,2.7176,9.598,17.3949
RHOW,VIIRS_N,HYPERNETS,443,33,33,33,33,0.5728,0.5741,0.6797,0.898,1.1864,-0.00682,0.001873,0.008454,NA,FALSE,FALSE,0.004252,0.0032,10.6811,-0.127268,-9.34e-4,0.057016,0.027176,0.09598,0.158447,-14.5827,-0.0935,5.7016,2.7176,9.598,17.3949
RHOW,HYPERNETS,VIIRS_N,486,33,33,33,33,0.2917,0.3537,0.8514,1.2062,1.7089,-0.014422,-0.004017,0.003328,NA,FALSE,FALSE,0.002982,0.002292,11.5562,-0.086724,-0.030197,0.104546,0.044873,0.091938,0.142057,-9.4959,-3.1138,10.4546,4.4873,10.1247,14.2057
RHOW,VIIRS_N,HYPERNETS,486,33,33,33,33,0.2005,0.2316,0.5852,0.829,1.1745,-0.003909,0.00333,0.008439,NA,FALSE,FALSE,0.002982,0.002292,10.8792,-0.09465,0.031138,0.094959,0.042945,0.094959,0.138014,-10.4546,3.1138,9.4959,4.4873,10.1247,14.2057
RHOW,HYPERNETS,VIIRS_N,551,33,33,33,33,-0.2926,-0.3652,-1.3584,-0.9646,-0.685,0.009186,0.010851,0.013195,NA,TRUE,TRUE,0.001966,0.001418,23.1355,-0.209684,-0.148164,0.010684,0.100316,0.157059,0.249213,-26.5317,-17.3935,1.0684,11.1501,18.6323,33.1935
RHOW,VIIRS_N,HYPERNETS,551,33,33,33,33,-0.3145,-0.2775,-1.4599,-1.0367,-0.7362,0.009714,0.011249,0.01341,NA,TRUE,TRUE,0.001966,0.001418,30.5147,-0.010571,0.173935,0.265317,0.111501,0.186323,0.331935,-1.0684,17.3935,26.5317,11.1501,18.6323,33.1935
RHOW,HYPERNETS,VIIRS_N,671,33,33,33,31,-0.0795,-0.3131,-0.6046,-0.4198,-0.2915,6.68e-4,7.99e-4,9.87e-4,NA,TRUE,TRUE,0.001133,8.06e-4,81.5512,-0.79415500000000006,-0.599564,-0.446531,0.4904,0.623182,0.876355,-397.7654,-149.7279,-80.6823,96.8301,165.3803,455.5536
RHOW,VIIRS_N,HYPERNETS,671,33,33,33,31,-0.4509,-0.1364,-3.4308,-2.3822,-1.654,0.001633,0.001902,0.00229,NA,TRUE,TRUE,0.001133,8.06e-4,1051.3645,0.80686,1.497279,4.100229,0.808604,1.497279,4.100229,80.6823,149.7279,397.7654,96.8301,165.3803,455.5536
RHOW,HYPERNETS,VIIRS_J1,411,23,23,23,23,0.9474,0.9187,0.8694,1.077,1.3342,-0.011444,-0.00255,0.004629,NA,FALSE,FALSE,0.003095,0.002692,8.0696,-0.060291,0.005332,0.078252,0.048613,0.062185,0.123362,-6.416,0.5332,7.8186,4.9725,6.628,12.7322
RHOW,VIIRS_J1,HYPERNETS,411,23,23,23,23,0.8168,0.8336,0.7495,0.9285,1.1502,-0.005324,0.002368,0.008577,NA,FALSE,FALSE,0.003095,0.002692,8.108,-0.072459,-0.005304,0.064161,0.048483,0.065424,0.112941,-7.8186,-0.5332,6.416,4.9725,6.628,12.7322
RHOW,HYPERNETS,VIIRS_J1,445,23,23,23,23,0.8391,0.8108,0.7836,1.0014,1.2797,-0.007868,4.06e-4,0.006881,NA,FALSE,FALSE,0.002314,0.002031,7.0253,-0.035947,0.026091,0.081573,0.034107,0.055562,0.109016,-3.7287,2.6091,8.1541,3.5312,5.7825,11.3697
RHOW,VIIRS_J1,HYPERNETS,445,23,23,23,23,0.8368,0.8651,0.7815,0.9986,1.2762,-0.008782,-4.06e-4,0.006148,NA,FALSE,FALSE,0.002314,0.002031,6.8446,-0.075366,-0.025427,0.037287,0.035313,0.057825,0.102089,-8.1541,-2.6091,3.7287,3.5312,5.7825,11.3697
RHOW,HYPERNETS,VIIRS_J1,489,23,23,23,23,0.6927,0.6977,0.8176,1.1694,1.6727,-0.013443,-0.003048,0.004219,NA,FALSE,FALSE,0.001687,0.001376,6.673,-0.023879,0.011216,0.085214,0.022184,0.053506,0.098953,-2.4467,1.1216,8.5204,2.2417,5.3506,10.5113
RHOW,VIIRS_J1,HYPERNETS,489,23,23,23,23,0.5065,0.5239,0.5978,0.8551,1.2232,-0.005161,0.002606,0.008037,NA,FALSE,FALSE,0.001687,0.001376,6.4107,-0.078505,-0.011091,0.02447,0.022159,0.050788,0.101389,-8.5204,-1.1216,2.4467,2.2417,5.3506,10.5113
RHOW,HYPERNETS,VIIRS_J1,556,23,23,23,23,0.241,0.3472,0.5181,0.7883,1.1994,-0.001159,0.001174,0.002708,NA,FALSE,FALSE,0.001217,9.52e-4,16.5491,-0.101207,-0.005978,0.186482,0.040221,0.147144,0.285111,-11.2637,-0.6014,18.5829,4.1906,14.7144,30.3626
RHOW,VIIRS_J1,HYPERNETS,556,23,23,23,23,0.3877,0.36870000000000003,0.8337,1.2685,1.93,-0.005226,-0.001489,9.67e-4,NA,FALSE,FALSE,0.001217,9.52e-4,16.7293,-0.156244,0.006014,0.112671,0.041907,0.12827,0.254266,-18.5829,0.6014,11.2637,4.1906,14.7144,30.3626
RHOW,HYPERNETS,VIIRS_J1,667,23,23,23,22,0.1509,0.656,0.3595,0.5554,0.8581,-2.17e-4,1.55e-4,3.95e-4,NA,TRUE,FALSE,9.27e-4,6.42e-4,54.3207,-0.603375,-0.247742,-0.032311,0.241676,0.500896,0.755333,-152.5275,-32.9504,-3.3444,27.7985,96.22,161.1514
RHOW,VIIRS_J1,HYPERNETS,667,23,23,23,22,0.4893,0.2109,1.1654,1.8006,2.7819,-0.0011,-2.78e-4,2.53e-4,NA,TRUE,FALSE,9.27e-4,6.42e-4,253.2787,0.033499,0.329677,1.529113,0.255874,0.508934,1.529113,3.3444,32.9504,152.5275,27.7985,96.22,161.1514
RHOW,HYPERNETS,VIIRS_J2,411,24,24,24,24,0.0825,0.0694,0.2622,0.3991,0.6075,0.011446,0.018853,0.023719,NA,TRUE,TRUE,0.005508,0.005034,14.2518,-0.175618,-0.100404,0.072441,0.092467,0.150355,0.185012,-21.3032,-11.161,7.2417,9.2458,17.4862,22.0914
RHOW,VIIRS_J2,HYPERNETS,411,24,24,24,24,0.5179,0.4033,1.6462,2.5057,3.8141,-0.090468,-0.047241,-0.018842,NA,TRUE,TRUE,0.005508,0.005034,15.4552,-0.067506,0.11161,0.213034,0.085089,0.165095,0.213034,-7.2417,11.161,21.3032,9.2458,17.4862,22.0914
RHOW,HYPERNETS,VIIRS_J2,445,24,24,24,24,0.0255,0.0106,0.3349,0.514,0.7889,0.003081,0.011316,0.016682,NA,TRUE,TRUE,0.005081,0.004493,14.626,-0.210298,-0.124027,0.027911,0.09982,0.137157,0.210298,-26.6402,-14.1597,2.786,10.9802,15.1439,26.6402
RHOW,VIIRS_J2,HYPERNETS,445,24,24,24,24,0.0964,0.0323,1.2676,1.9454,2.9858,-0.049809,-0.022015,-0.003905,NA,TRUE,TRUE,0.005081,0.004493,17.2901,-0.027057,0.141606,0.266504,0.107018,0.148367,0.266504,-2.786,14.1597,26.6402,10.9802,15.1439,26.6402
