var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,MRD,MARD,RMSE,MSA,MAPE
RHOW,HYPERNETS,TRIOS,57,56,56,56,380,0.82,0.76,5.54,6.87,0.055386,0.066704,0.003801,0.002886,10.71
RHOW,TRIOS,HYPERNETS,57,56,56,56,380,0.86,0.87,-5.54,6.87,-0.052476,0.064269,0.003801,0.002886,9.13
RHOW,HYPERNETS,TRIOS,57,56,56,56,381,0.81,0.76,4.3,5.52,0.04303,0.05372,0.003582,0.00262,9.68
RHOW,TRIOS,HYPERNETS,57,56,56,56,381,0.89,0.89,-4.3,5.52,-0.041254,0.052529,0.003582,0.00262,8.31
RHOW,HYPERNETS,TRIOS,57,56,56,56,382,0.8,0.76,2.37,4.36,0.023686,0.042592,0.00331,0.002323,8.43
RHOW,TRIOS,HYPERNETS,57,56,56,56,382,0.9,0.88,-2.37,4.36,-0.023135,0.04273,0.00331,0.002323,7.4
RHOW,HYPERNETS,TRIOS,57,56,56,56,383,0.8,0.77,2.22,4.36,0.022223,0.04253,0.003232,0.002277,8.16
RHOW,TRIOS,HYPERNETS,57,56,56,56,383,0.91,0.89,-2.22,4.36,-0.021737,0.042739,0.003232,0.002277,7.22
RHOW,HYPERNETS,TRIOS,57,56,56,56,384,0.81,0.77,2.25,4.31,0.02249,0.042205,0.003214,0.002263,8.07
RHOW,TRIOS,HYPERNETS,57,56,56,56,384,0.91,0.89,-2.25,4.31,-0.021994,0.042161,0.003214,0.002263,7.14
RHOW,HYPERNETS,TRIOS,57,56,56,56,385,0.81,0.77,2.12,4.67,0.021153,0.044847,0.003198,0.002235,7.94
RHOW,TRIOS,HYPERNETS,57,56,56,56,385,0.91,0.9,-2.12,4.67,-0.020713,0.045587,0.003198,0.002235,7.03
RHOW,HYPERNETS,TRIOS,57,56,56,56,386,0.81,0.78,1.72,3.85,0.017177,0.037605,0.003088,0.002154,7.54
RHOW,TRIOS,HYPERNETS,57,56,56,56,386,0.92,0.9,-1.72,3.85,-0.016887,0.038018,0.003088,0.002154,6.78
RHOW,HYPERNETS,TRIOS,57,56,56,56,387,0.81,0.78,1.69,4.08,0.016901,0.039818,0.003094,0.002168,7.58
RHOW,TRIOS,HYPERNETS,57,56,56,56,387,0.92,0.9,-1.69,4.08,-0.01662,0.040156,0.003094,0.002168,6.81
RHOW,HYPERNETS,TRIOS,57,56,56,56,388,0.81,0.78,1.92,4.23,0.019213,0.041387,0.003142,0.002205,7.73
RHOW,TRIOS,HYPERNETS,57,56,56,56,388,0.92,0.9,-1.92,4.23,-0.01885,0.041539,0.003142,0.002205,6.91
RHOW,HYPERNETS,TRIOS,57,56,56,56,389,0.81,0.78,2.6,4.37,0.025989,0.042238,0.003235,0.002312,8.11
RHOW,TRIOS,HYPERNETS,57,56,56,56,389,0.91,0.89,-2.6,4.37,-0.02533,0.042826,0.003235,0.002312,7.2
RHOW,HYPERNETS,TRIOS,57,56,56,56,390,0.82,0.78,3.1,4.18,0.031003,0.041806,0.003275,0.002338,8.25
RHOW,TRIOS,HYPERNETS,57,56,56,56,390,0.9,0.89,-3.1,4.18,-0.030071,0.040382,0.003275,0.002338,7.25
RHOW,HYPERNETS,TRIOS,57,56,56,56,391,0.81,0.78,2.88,4.13,0.028832,0.041303,0.003257,0.00233,8.17
RHOW,TRIOS,HYPERNETS,57,56,56,56,391,0.91,0.9,-2.88,4.13,-0.028024,0.039665,0.003257,0.00233,7.21
RHOW,HYPERNETS,TRIOS,57,56,56,56,392,0.81,0.78,2.99,3.89,0.029871,0.038657,0.00323,0.002285,7.98
