var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
ED,HYPERNETS,HYPERPRO,380,9,9,9,9,0.4081,0.4191,0.3698,0.7359,1.4644,-358.44674,139.694276,390.023347,NA,FALSE,FALSE,47.380205,43.757096,6.3387,-0.087198,-0.073057,-0.0401,0.0401,0.073057,0.087198,-9.5528,-7.8815,-4.1775,4.1775,7.8815,9.5528
ED,HYPERNETS,HYPERPRO,400,9,9,9,9,0.4085,0.4533,0.3492,0.6779,1.3162,-482.853109,210.506198,567.622661,NA,FALSE,FALSE,143.375359,139.350172,12.7553,-0.144124,-0.139443,-0.112333,0.112333,0.139443,0.144124,-16.8393,-16.2039,-12.6548,12.6548,16.2039,16.8393
ED,HYPERNETS,HYPERPRO,412,9,9,9,9,0.4119,0.4193,0.3447,0.6617,1.2704,-388.643815,344.566935,726.480905,NA,FALSE,FALSE,74.639012,67.287586,5.5086,-0.070668,-0.066321,-0.042406,0.042406,0.066321,0.070668,-7.6041,-7.1032,-4.4284,4.4284,7.1032,7.6041
ED,HYPERNETS,HYPERPRO,443,9,9,9,9,0.4065,0.4039,0.3515,0.6862,1.3397,-507.053451,388.094215,846.594216,NA,FALSE,FALSE,61.559581,55.540395,4.0328,-0.049913,-0.043965,-0.020284,0.026286,0.045195,0.049913,-5.2535,-4.5987,-2.0704,2.6996000000000002,4.7334,5.2535
ED,HYPERNETS,HYPERPRO,490,9,9,9,9,0.3812,0.3688,0.3506,0.7014,1.403,-602.784076,425.4147,939.411365,NA,FALSE,FALSE,51.271789,42.120724,2.9105,-0.036208,-0.022345,0.004798,0.017161,0.023271,0.039323,-3.7569,-2.2856,0.4798,1.7161,2.3825,4.0932
ED,HYPERNETS,HYPERPRO,510,9,9,9,9,0.3734,0.3637,0.3495,0.703,1.4142,-633.710769,416.976425,939.286395,NA,FALSE,FALSE,54.658536,45.772919,3.1195,-0.036951,-0.027045,-6.19e-4,0.010056,0.031756,0.047283,-3.8369,-2.7797,-0.0619,1.0056,3.2797,4.963
ED,HYPERNETS,HYPERPRO,560,9,9,9,9,0.3829,0.3601,0.3594,0.7238,1.4573,-607.193009,411.037637,916.732557,NA,FALSE,FALSE,55.050421,38.467615,2.8577,-0.003119,0.010917,0.033241,0.010917,0.016007,0.033241,-0.3129,1.0917,3.3241,1.0917,1.6267,3.3241
ED,HYPERNETS,HYPERPRO,620,9,9,9,9,0.3645,0.3435,0.3497,0.7086,1.4359,-550.047845,398.789714,867.034577,NA,FALSE,FALSE,48.857012,34.323815,2.71,-0.011086,0.004553,0.024684,0.011086,0.018237,0.024684,-1.121,0.4553,2.4684,1.121,1.8257,2.4684
ED,HYPERNETS,HYPERPRO,673,9,9,9,9,0.3642,0.3372,0.3609,0.7375,1.5071,-576.777637,356.94537,813.845006,NA,FALSE,FALSE,56.113774,39.306456,3.335,0.007717,0.020941,0.043167,0.007717,0.020941,0.043167,0.7717,2.0941,4.3167,0.7717,2.0941,4.3167
ED,HYPERNETS,HYPERPRO,700,9,9,9,9,0.3674,0.3402,0.3324,0.6611,1.3148,-292.583076,407.518817,759.529223,NA,FALSE,FALSE,57.940798,44.532643,4.2789,0.014613,0.033023,0.054649,0.014613,0.033023,0.054649,1.4613,3.3023,5.4649,1.4613,3.3023,5.4649
ED,HYPERNETS,TRIOS,380,55,53,53,53,0.9471,0.9648,0.9205,0.9555,0.9918,-1.097419,20.091788,40.505308,NA,TRUE,FALSE,20.158811,17.707601,3.2381,-0.036004,-0.017296,0.009672,0.017081,0.029659,0.042164,-3.7349,-1.76,0.9672,1.7085,3.0565,4.3306
ED,HYPERNETS,TRIOS,400,55,53,53,53,0.833,0.9618,0.8094,0.8407,0.8732,-0.970673,29.303719,58.450091,NA,TRUE,FALSE,127.001215,118.928151,12.4992,-0.148364,-0.133914,-0.107276,0.107276,0.133914,0.148364,-17.421,-15.462,-12.0167,12.0167,15.462,17.421
ED,HYPERNETS,TRIOS,412,55,53,53,53,0.9344,0.9623,0.9074,0.9436,0.9813,-6.700888,32.237615,69.68138,NA,TRUE,FALSE,44.100177,39.365964,3.8664,-0.049801,-0.026691,-0.008869,0.022558,0.036556,0.053428,-5.2411,-2.7423,-0.8949,2.3079,3.6908,5.5507
ED,HYPERNETS,TRIOS,443,55,53,53,53,0.9322,0.9568,0.9044,0.9423,0.9818,1.158695,47.753771,92.475664,NA,TRUE,TRUE,46.850421,40.750582,3.5866,-0.042881,-0.021278,0.003002,0.016923,0.038984,0.04952,-4.4802,-2.1741,0.3002,1.7214,3.9877,5.21
ED,HYPERNETS,TRIOS,490,55,53,53,53,0.9484,0.9597,0.9192,0.96,1.0026,-2.861644,51.26171,103.083625,NA,FALSE,FALSE,45.670441,36.893149,3.1991,-0.025849,-0.001947,0.022259,0.017714,0.025652,0.040456,-2.6535,-0.1951,2.2259,1.8033,2.5652,4.061
ED,HYPERNETS,TRIOS,510,55,53,53,53,0.9346,0.96,0.9056,0.9461,0.9885,-3.167003,51.021668,102.889493,NA,TRUE,FALSE,50.636296,43.225529,3.5572,-0.039871,-0.018539,0.006781,0.013935,0.036807,0.049546,-4.1527,-1.889,0.6781,1.4132,3.7338,5.2129
