var_name,sensor_X,sensor_Y,wavelength,n_w_nm_clean,Slope_II_CI,Slope_II_slope_bias_sig,Bias_50,Error_50,MRD_50,MARD_50
ED,HYPERNETS,HYPERPRO,380,9,0.74±0.55,FALSE,-7.8815,7.8815,-0.073057,0.073057
ED,HYPERNETS,HYPERPRO,400,9,0.68±0.48,FALSE,-16.2039,16.2039,-0.139443,0.139443
ED,HYPERNETS,HYPERPRO,412,9,0.66±0.46,FALSE,-7.1032,7.1032,-0.066321,0.066321
ED,HYPERNETS,HYPERPRO,443,9,0.69±0.49,FALSE,-4.5987,4.7334,-0.043965,0.045195
ED,HYPERNETS,HYPERPRO,490,9,0.70±0.53,FALSE,-2.2856,2.3825,-0.022345,0.023271
ED,HYPERNETS,HYPERPRO,510,9,0.70±0.53,FALSE,-2.7797,3.2797,-0.027045,0.031756
ED,HYPERNETS,HYPERPRO,560,9,0.72±0.55,FALSE,1.0917,1.6267,0.010917,0.016007
ED,HYPERNETS,HYPERPRO,620,9,0.71±0.54,FALSE,0.4553,1.8257,0.004553,0.018237
ED,HYPERNETS,HYPERPRO,673,9,0.74±0.57,FALSE,2.0941,2.0941,0.020941,0.020941
ED,HYPERNETS,HYPERPRO,700,9,0.66±0.49,FALSE,3.3023,3.3023,0.033023,0.033023
ED,HYPERNETS,TRIOS,380,53,0.96±0.04,TRUE,-1.76,3.0565,-0.017296,0.029659
ED,HYPERNETS,TRIOS,400,53,0.84±0.03,TRUE,-15.462,15.462,-0.133914,0.133914
ED,HYPERNETS,TRIOS,412,53,0.94±0.04,TRUE,-2.7423,3.6908,-0.026691,0.036556
ED,HYPERNETS,TRIOS,443,53,0.94±0.04,TRUE,-2.1741,3.9877,-0.021278,0.038984
ED,HYPERNETS,TRIOS,490,53,0.96±0.04,FALSE,-0.1951,2.5652,-0.001947,0.025652
ED,HYPERNETS,TRIOS,510,53,0.95±0.04,TRUE,-1.889,3.7338,-0.018539,0.036807
ED,HYPERNETS,TRIOS,560,53,0.98±0.04,FALSE,1.4372,2.37,0.014372,0.023407
ED,HYPERNETS,TRIOS,620,53,0.97±0.04,FALSE,1.2449,2.08,0.012449,0.0208
ED,HYPERNETS,TRIOS,673,53,0.99±0.05,FALSE,2.5925,2.7663,0.025925,0.027569
ED,HYPERNETS,TRIOS,700,53,0.99±0.04,FALSE,3.8949,3.8949,0.038949,0.038949
ED,HYPERPRO,HYPERNETS,380,9,1.36±1.01,FALSE,7.8815,7.8815,0.078815,0.078815
ED,HYPERPRO,HYPERNETS,400,9,1.48±1.05,FALSE,16.2039,16.2039,0.162039,0.162039
ED,HYPERPRO,HYPERNETS,412,9,1.51±1.06,FALSE,7.1032,7.1032,0.071032,0.071032
ED,HYPERPRO,HYPERNETS,443,9,1.46±1.05,FALSE,4.5987,4.7334,0.045987,0.046499
ED,HYPERPRO,HYPERNETS,490,9,1.43±1.07,FALSE,2.2856,2.3825,0.022856,0.023825
ED,HYPERPRO,HYPERNETS,510,9,1.42±1.08,FALSE,2.7797,3.2797,0.027797,0.032797
ED,HYPERPRO,HYPERNETS,560,9,1.38±1.05,FALSE,-1.0917,1.6267,-0.010799,0.016267
ED,HYPERPRO,HYPERNETS,620,9,1.41±1.08,FALSE,-0.4553,1.8257,-0.004532,0.018257
ED,HYPERPRO,HYPERNETS,673,9,1.36±1.05,FALSE,-2.0941,2.0941,-0.020512,0.020512
ED,HYPERPRO,HYPERNETS,700,9,1.51±1.12,FALSE,-3.3023,3.3023,-0.031967,0.031967
ED,HYPERPRO,TRIOS,380,7,0.97±0.50,FALSE,6.7553,6.7553,0.067553,0.067553
ED,HYPERPRO,TRIOS,400,7,0.96±0.53,FALSE,1.5075,1.5075,0.015075,0.015075
ED,HYPERPRO,TRIOS,412,7,1.00±0.58,FALSE,4.2712,4.2712,0.042712,0.042712
ED,HYPERPRO,TRIOS,443,7,0.98±0.60,FALSE,2.8286,2.8286,0.028286,0.028286
ED,HYPERPRO,TRIOS,490,7,0.93±0.60,FALSE,2.4976,2.4976,0.024976,0.024976
ED,HYPERPRO,TRIOS,510,7,0.93±0.61,FALSE,1.6672,1.6672,0.016672,0.016672
ED,HYPERPRO,TRIOS,560,7,0.88±0.59,FALSE,1.4444,1.4444,0.014444,0.014444
ED,HYPERPRO,TRIOS,620,7,0.85±0.59,FALSE,1.6253,1.6253,0.016253,0.016253
ED,HYPERPRO,TRIOS,673,7,0.78±0.55,FALSE,1.612,1.612,0.01612,0.01612
ED,HYPERPRO,TRIOS,700,7,0.95±0.70,FALSE,1.5571,1.5571,0.015571,0.015571
ED,TRIOS,HYPERNETS,380,53,1.05±0.04,TRUE,1.76,3.0565,0.0176,0.030565
ED,TRIOS,HYPERNETS,400,53,1.19±0.05,TRUE,15.462,15.462,0.15462,0.15462
ED,TRIOS,HYPERNETS,412,53,1.06±0.04,TRUE,2.7423,3.6908,0.027423,0.036908
ED,TRIOS,HYPERNETS,443,53,1.06±0.04,TRUE,2.1741,3.9877,0.021741,0.039275
ED,TRIOS,HYPERNETS,490,53,1.04±0.05,FALSE,0.1951,2.5652,0.001951,0.025242
ED,TRIOS,HYPERNETS,510,53,1.06±0.05,TRUE,1.889,3.7338,0.01889,0.037338
ED,TRIOS,HYPERNETS,560,53,1.02±0.05,FALSE,-1.4372,2.37,-0.014169,0.023163
ED,TRIOS,HYPERNETS,620,53,1.03±0.05,FALSE,-1.2449,2.08,-0.012296,0.020376
ED,TRIOS,HYPERNETS,673,53,1.01±0.05,FALSE,-2.5925,2.7663,-0.02527,0.026919
ED,TRIOS,HYPERNETS,700,53,1.01±0.04,FALSE,-3.8949,3.8949,-0.037488,0.037488
ED,TRIOS,HYPERPRO,380,7,1.03±0.53,FALSE,-6.7553,6.7553,-0.063278,0.063278
ED,TRIOS,HYPERPRO,400,7,1.04±0.58,FALSE,-1.5075,1.5075,-0.014851,0.014851
ED,TRIOS,HYPERPRO,412,7,1.00±0.58,FALSE,-4.2712,4.2712,-0.040962,0.040962
ED,TRIOS,HYPERPRO,443,7,1.02±0.63,FALSE,-2.8286,2.8286,-0.027508,0.027508
ED,TRIOS,HYPERPRO,490,7,1.08±0.70,FALSE,-2.4976,2.4976,-0.024368,0.024368
ED,TRIOS,HYPERPRO,510,7,1.08±0.72,FALSE,-1.6672,1.6672,-0.016398,0.016398
ED,TRIOS,HYPERPRO,560,7,1.14±0.77,FALSE,-1.4444,1.4444,-0.014239,0.014239
ED,TRIOS,HYPERPRO,620,7,1.18±0.81,FALSE,-1.6253,1.6253,-0.015993,0.015993
ED,TRIOS,HYPERPRO,673,7,1.27±0.90,FALSE,-1.612,1.612,-0.015864,0.015864
ED,TRIOS,HYPERPRO,700,7,1.05±0.77,FALSE,-1.5571,1.5571,-0.015332,0.015332
LD,HYPERNETS,TRIOS,380,34,1.16±0.23,FALSE,-1.0286,7.7364,-0.010125,0.074049
LD,HYPERNETS,TRIOS,400,34,0.94±0.17,FALSE,-19.979,19.979,-0.166419,0.166419
LD,HYPERNETS,TRIOS,412,34,1.01±0.18,FALSE,-7.6714,12.2112,-0.071187,0.108823
LD,HYPERNETS,TRIOS,443,34,0.97±0.15,FALSE,-9.5534,14.5522,-0.087094,0.13346
LD,HYPERNETS,TRIOS,490,34,0.95±0.12,FALSE,-11.2476,16.854,-0.100987,0.151948
LD,HYPERNETS,TRIOS,510,34,0.94±0.11,FALSE,-13.479,17.5867,-0.118656,0.153814
LD,HYPERNETS,TRIOS,560,34,0.95±0.10,FALSE,-10.9037,19.0186,-0.098229,0.159793
LD,HYPERNETS,TRIOS,620,34,0.93±0.08,FALSE,-9.7031,19.5431,-0.088443,0.164428
LD,HYPERNETS,TRIOS,673,34,0.94±0.08,FALSE,-8.0008,19.1266,-0.07408,0.168961
