var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS_vs_AQUA_vs_20240811T074900_RHOW.csv,Hyp,AQUA,16.613517,36.048567,17.830084000000003,36.712677,131.73,10,2024-08-11T09:49:00Z,2024-08-11T13:45:01Z,236,120,8,1.3281,0.6045,1.2369,1.3318,1.4339,0.001065,0.002599,0.004024,NA,TRUE,TRUE,0.008712,0.007583,203.6176,0.401268,0.597469,2.199323,0.401268,0.597469,2.199323,40.1209,59.2641,184.3156,40.1209,59.2641,184.3156
RHOW,HYPERNETS_vs_AQUA_vs_20240811T074900_RHOW.csv,AQUA,Hyp,17.830084000000003,36.712677,16.613517,36.048567,131.73,10,2024-08-11T13:45:01Z,2024-08-11T09:49:00Z,236,120,8,0.7488,1.6191,0.6974,0.7509,0.8085,-0.003253,-0.001952,-7.43e-4,NA,TRUE,TRUE,0.008712,0.007583,47.9963,-0.617236,-0.370209,-0.2863,0.2863,0.370209,0.617236,-184.3156,-59.2641,-40.1209,40.1209,59.2641,184.3156
RHOW,HYPERNETS_vs_AQUA_vs_20240811T111600_RHOW.csv,Hyp,AQUA,16.4092,36.04515000000001,17.790301999999997,36.79650500000001,149.33,10,2024-08-11T13:16:00Z,2024-08-11T13:45:01Z,29,120,8,1.445,0.6344,1.3428,1.4492,1.564,6.55e-4,0.00225,0.003728,NA,TRUE,TRUE,0.009981,0.00849,191.2891,0.504791,0.689139,1.980765,0.504791,0.689139,1.980765,50.4753,68.6799,175.6384,50.4753,68.6799,175.6384
RHOW,HYPERNETS_vs_AQUA_vs_20240811T111600_RHOW.csv,AQUA,Hyp,17.790301999999997,36.79650500000001,16.4092,36.04515000000001,149.33,10,2024-08-11T13:45:01Z,2024-08-11T13:16:00Z,29,120,8,0.688,1.5424,0.6394,0.69,0.7447,-0.002776,-0.001553,-4.19e-4,NA,TRUE,TRUE,0.009981,0.00849,50.4087,-0.615053,-0.406339,-0.335422,0.335422,0.406339,0.615053,-175.6384,-68.6799,-50.4753,50.4753,68.6799,175.6384
RHOW,TRIOS_vs_AQUA_vs_20240811T105307_RHOW.csv,TRIOS,AQUA,16.443555,36.035663,17.790301999999997,36.79650500000001,147.4,10,2024-08-11T12:53:07Z,2024-08-11T13:45:01Z,52,120,8,1.3805,0.4706,1.2759,1.3852,1.5038,0.001136,0.002812,0.004357,NA,TRUE,TRUE,0.009526,0.008254,638.2558,0.462344,0.689977,4.652963,0.462344,0.689977,4.652963,46.226,68.437,280.712,46.226,68.437,280.712
RHOW,TRIOS_vs_AQUA_vs_20240811T105307_RHOW.csv,AQUA,TRIOS,17.790301999999997,36.79650500000001,16.443555,36.035663,147.4,10,2024-08-11T13:45:01Z,2024-08-11T12:53:07Z,52,120,8,0.7195,2.0139,0.665,0.7219,0.7838,-0.003414,-0.00203,-7.55e-4,NA,TRUE,TRUE,0.009526,0.008254,52.7158,-0.669583,-0.40433,-0.316088,0.316088,0.40433,0.669583,-280.712,-68.437,-46.226,46.226,68.437,280.712
RHOW,TRIOS_vs_AQUA_vs_20240811T121922_RHOW.csv,TRIOS,AQUA,16.292493999999998,36.067488,17.790301999999997,36.79650500000001,156.78,10,2024-08-11T14:19:22Z,2024-08-11T13:45:01Z,34,120,8,1.319,0.4951,1.2308,1.3225,1.4209,0.001473,0.002922,0.00427,NA,TRUE,TRUE,0.00873,0.007667,480.0005,0.4031,0.630785,3.877074,0.4031,0.630785,3.877074,40.306,62.3066,255.1297,40.306,62.3066,255.1297
RHOW,TRIOS_vs_AQUA_vs_20240811T121922_RHOW.csv,AQUA,TRIOS,17.790301999999997,36.79650500000001,16.292493999999998,36.067488,156.78,10,2024-08-11T13:45:01Z,2024-08-11T14:19:22Z,34,120,8,0.7542,1.9328,0.7038,0.7562,0.8125,-0.003469,-0.002209,-0.001036,NA,TRUE,TRUE,0.00873,0.007667,50.7175,-0.658707,-0.380952,-0.287252,0.287252,0.380952,0.658707,-255.1297,-62.3066,-40.306,40.306,62.3066,255.1297
RHOW,TRIOS_vs_AQUA_vs_20240814T115503_RHOW.csv,TRIOS,AQUA,15.509195,37.71812800000001,15.638002999999998,37.85812,19.27,10,2024-08-14T13:55:03Z,2024-08-14T14:05:01Z,10,120,6,0.8773,1.3159,0.8136,0.8786,0.9489,-0.00449,-0.002945,-0.001515,NA,TRUE,TRUE,0.00577,0.005612,30.8647,-0.416868,-0.237948,-0.217996,0.217996,0.237948,0.416868,-73.7276,-31.2304,-27.8825,27.8825,31.2304,73.7276
RHOW,TRIOS_vs_AQUA_vs_20240814T115503_RHOW.csv,AQUA,TRIOS,15.638002999999998,37.85812,15.509195,37.71812800000001,19.27,10,2024-08-14T14:05:01Z,2024-08-14T13:55:03Z,10,120,6,1.1364,0.7575,1.0538,1.1381,1.2292,0.001863,0.003352,0.004731,NA,TRUE,TRUE,0.00577,0.005612,49.9622,0.278883,0.31236,0.757389,0.278883,0.31236,0.757389,27.8825,31.2304,73.7276,27.8825,31.2304,73.7276
