file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Bias,Error,MRD,MARD,RMSE,MSA,MAPE
HYPERNETS_vs_VIIRS_N_vs_20240811T074900_RHOW.csv,Hyp,VIIRS_N,16.613517,36.048567,16.532101,36.013756,8.29,10,2024-08-11T09:49:00Z,2024-08-11T12:48:01Z,179,120,5,1.2,1.06,12.48,12.48,0.124784,0.124784,0.004082,0.003029,14.39
HYPERNETS_vs_VIIRS_N_vs_20240811T074900_RHOW.csv,VIIRS_N,Hyp,16.532101,36.013756,16.613517,36.048567,8.29,10,2024-08-11T12:48:01Z,2024-08-11T09:49:00Z,179,120,5,0.83,0.94,-12.48,12.48,-0.11094,0.118326,0.004082,0.003029,12.91
HYPERNETS_vs_VIIRS_N_vs_20240812T095200_RHOW.csv,Hyp,VIIRS_N,15.165133,36.586,17.86989,38.30404699999999,306.11,10,2024-08-12T11:52:00Z,2024-08-12T12:30:01Z,38,120,5,1.66,0.88,60.13,60.13,0.601346,0.601346,0.011752,0.009042,78.65
HYPERNETS_vs_VIIRS_N_vs_20240812T095200_RHOW.csv,VIIRS_N,Hyp,17.86989,38.30404699999999,15.165133,36.586,306.11,10,2024-08-12T12:30:01Z,2024-08-12T11:52:00Z,38,120,5,0.59,1.12,-60.13,60.13,-0.375525,0.375525,0.011752,0.009042,40.92
HYPERNETS_vs_VIIRS_N_vs_20240813T132000_RHOW.csv,Hyp,VIIRS_N,15.405917,37.128400000000006,14.957430000000002,40.13991500000001,337.5,10,2024-08-13T15:20:00Z,2024-08-13T13:54:01Z,86,120,5,1.07,1.19,3.87,4.44,0.038682,0.044374,0.001195,0.001007,12.71
HYPERNETS_vs_VIIRS_N_vs_20240813T132000_RHOW.csv,VIIRS_N,Hyp,14.957430000000002,40.13991500000001,15.405917,37.128400000000006,337.5,10,2024-08-13T13:54:01Z,2024-08-13T15:20:00Z,86,120,5,0.93,0.83,-3.87,4.44,-0.037241,0.042489,0.001195,0.001007,20.03
HYPERNETS_vs_VIIRS_N_vs_20240813T133000_RHOW.csv,Hyp,VIIRS_N,15.392800000000001,37.143117000000004,14.939523,40.137119000000006,335.61,10,2024-08-13T15:30:00Z,2024-08-13T13:54:01Z,96,120,5,0.98,1.48,-8.96,8.96,-0.082257,0.082257,0.002217,0.002194,24.4
HYPERNETS_vs_VIIRS_N_vs_20240813T133000_RHOW.csv,VIIRS_N,Hyp,14.939523,40.137119000000006,15.392800000000001,37.143117000000004,335.61,10,2024-08-13T13:54:01Z,2024-08-13T15:30:00Z,96,120,5,1.02,0.66,8.96,8.96,0.08963,0.08963,0.002217,0.002194,74.06
HYPERNETS_vs_VIIRS_N_vs_20240813T134000_RHOW.csv,Hyp,VIIRS_N,15.378417,37.15705,14.930568,40.13571900000001,333.86,10,2024-08-13T15:40:00Z,2024-08-13T13:54:01Z,106,120,5,1.05,1.76,-12.6,12.6,-0.111883,0.111883,0.002795,0.002677,28.48
HYPERNETS_vs_VIIRS_N_vs_20240813T134000_RHOW.csv,VIIRS_N,Hyp,14.930568,40.13571900000001,15.378417,37.15705,333.86,10,2024-08-13T13:54:01Z,2024-08-13T15:40:00Z,106,120,5,0.95,0.55,12.6,12.6,0.125978,0.125978,0.002795,0.002677,124.95
HYPERNETS_vs_VIIRS_N_vs_20240813T135100_RHOW.csv,Hyp,VIIRS_N,15.363683000000002,37.170783,14.921616,40.134319000000005,332.13,10,2024-08-13T15:51:00Z,2024-08-13T13:54:01Z,117,120,5,1,1.23,-4.43,4.43,-0.042434,0.042434,8.6e-4,8.33e-4,14.28
HYPERNETS_vs_VIIRS_N_vs_20240813T135100_RHOW.csv,VIIRS_N,Hyp,14.921616,40.134319000000005,15.363683000000002,37.170783,332.13,10,2024-08-13T13:54:01Z,2024-08-13T15:51:00Z,117,120,5,1,0.81,4.43,4.43,0.044314,0.044314,8.6e-4,8.33e-4,26.69
HYPERNETS_vs_VIIRS_N_vs_20240815T091000_RHOW.csv,Hyp,VIIRS_N,15.38855,38.539567,15.412045,38.525757000000006,2.56,10,2024-08-15T11:10:00Z,2024-08-15T13:12:00Z,122,120,5,0.96,0.86,-1.39,3.28,-0.013711,0.031785,6.58e-4,4.31e-4,23.08
HYPERNETS_vs_VIIRS_N_vs_20240815T091000_RHOW.csv,VIIRS_N,Hyp,15.412045,38.525757000000006,15.38855,38.539567,2.56,10,2024-08-15T13:12:00Z,2024-08-15T11:10:00Z,122,120,5,1.04,1.16,1.39,3.28,0.013902,0.032828,6.58e-4,4.31e-4,12.62
HYPERNETS_vs_VIIRS_J1_vs_20240811T074900_RHOW.csv,Hyp,VIIRS_J1,16.613517,36.048567,16.520161,36.015144,9.19,10,2024-08-11T09:49:00Z,2024-08-11T13:12:01Z,203,120,5,1.05,0.87,7.6,7.6,0.075992,0.075992,0.001636,0.001489,27.88
HYPERNETS_vs_VIIRS_J1_vs_20240811T074900_RHOW.csv,VIIRS_J1,Hyp,16.520161,36.015144,16.613517,36.048567,9.19,10,2024-08-11T13:12:01Z,2024-08-11T09:49:00Z,203,120,5,0.95,1.15,-7.6,7.6,-0.070625,0.070625,0.001636,0.001489,17.94
HYPERNETS_vs_VIIRS_J1_vs_20240813T102100_RHOW.csv,Hyp,VIIRS_J1,15.64745,36.857549999999996,15.37805,39.886928999999995,338.05,10,2024-08-13T12:21:00Z,2024-08-13T14:18:01Z,117,120,5,1.1,1.63,12.12,19.32,0.121184,0.193204,0.002147,0.001889,32.6
HYPERNETS_vs_VIIRS_J1_vs_20240813T102100_RHOW.csv,VIIRS_J1,Hyp,15.37805,39.886928999999995,15.64745,36.857549999999996,338.05,10,2024-08-13T14:18:01Z,2024-08-13T12:21:00Z,117,120,5,0.91,0.59,-12.12,19.32,-0.108086,0.16192,0.002147,0.001889,285.69
HYPERNETS_vs_VIIRS_J1_vs_20240813T132000_RHOW.csv,Hyp,VIIRS_J1,15.405917,37.128400000000006,15.167526,39.866543,305.52,10,2024-08-13T15:20:00Z,2024-08-13T14:18:01Z,62,120,5,0.9,1.46,-16.67,16.67,-0.142899,0.142899,0.002985,0.002647,27.78
HYPERNETS_vs_VIIRS_J1_vs_20240813T132000_RHOW.csv,VIIRS_J1,Hyp,15.167526,39.866543,15.405917,37.128400000000006,305.52,10,2024-08-13T14:18:01Z,2024-08-13T15:20:00Z,62,120,5,1.12,0.67,16.67,16.67,0.166724,0.166724,0.002985,0.002647,98.83
HYPERNETS_vs_VIIRS_J1_vs_20240813T133000_RHOW.csv,Hyp,VIIRS_J1,15.392800000000001,37.143117000000004,15.154531,39.865273,303.74,10,2024-08-13T15:30:00Z,2024-08-13T14:18:01Z,72,120,5,0.84,1.67,-28.86,28.86,-0.223984,0.223984,0.005247,0.004743,36.86
HYPERNETS_vs_VIIRS_J1_vs_20240813T133000_RHOW.csv,VIIRS_J1,Hyp,15.154531,39.865273,15.392800000000001,37.143117000000004,303.74,10,2024-08-13T14:18:01Z,2024-08-13T15:30:00Z,72,120,5,1.18,0.57,28.86,28.86,0.288634,0.288634,0.005247,0.004743,179.39
HYPERNETS_vs_VIIRS_J1_vs_20240813T134000_RHOW.csv,Hyp,VIIRS_J1,15.378417,37.15705,15.141559999999998,39.864002,302.04,10,2024-08-13T15:40:00Z,2024-08-13T14:18:01Z,82,120,5,0.91,2,-24.56,24.56,-0.197148,0.197148,0.005252,0.005119,39.36
HYPERNETS_vs_VIIRS_J1_vs_20240813T134000_RHOW.csv,VIIRS_J1,Hyp,15.141559999999998,39.864002,15.378417,37.15705,302.04,10,2024-08-13T14:18:01Z,2024-08-13T15:40:00Z,82,120,5,1.1,0.48,24.56,24.56,0.245559,0.245559,0.005252,0.005119,276.96
HYPERNETS_vs_VIIRS_J1_vs_20240813T135100_RHOW.csv,Hyp,VIIRS_J1,15.363683000000002,37.170783,15.128604,39.86273200000001,300.36,10,2024-08-13T15:51:00Z,2024-08-13T14:18:01Z,93,120,5,0.85,1.46,-23.26,23.26,-0.18873500000000001,0.18873500000000001,0.004175,0.003647,31.58
HYPERNETS_vs_VIIRS_J1_vs_20240813T135100_RHOW.csv,VIIRS_J1,Hyp,15.128604,39.86273200000001,15.363683000000002,37.170783,300.36,10,2024-08-13T14:18:01Z,2024-08-13T15:51:00Z,93,120,5,1.17,0.67,23.26,23.26,0.232643,0.232643,0.004175,0.003647,107.26
HYPERNETS_vs_VIIRS_J1_vs_20240813T141000_RHOW.csv,Hyp,VIIRS_J1,15.337183,37.194283,15.102751,39.860191,297.47,10,2024-08-13T16:10:00Z,2024-08-13T14:18:01Z,112,120,5,1.16,1.69,6.27,13.35,0.062688,0.12803,0.002186,0.002004,26.67
HYPERNETS_vs_VIIRS_J1_vs_20240813T141000_RHOW.csv,VIIRS_J1,Hyp,15.102751,39.860191,15.337183,37.194283,297.47,10,2024-08-13T14:18:01Z,2024-08-13T16:10:00Z,112,120,5,0.85,0.56,-6.27,13.35,-0.05899,0.133477,0.002186,0.002004,115.55
HYPERNETS_vs_VIIRS_J2_vs_20240811T091600_RHOW.csv,Hyp,VIIRS_J2,16.499767,36.042300000000004,19.985145999999993,38.247879,394.83,10,2024-08-11T11:16:00Z,2024-08-11T12:24:01Z,68,120,5,0.96,0.77,3.76,3.76,0.037606,0.037606,7.62e-4,7.52e-4,34.48
HYPERNETS_vs_VIIRS_J2_vs_20240811T091600_RHOW.csv,VIIRS_J2,Hyp,19.985145999999993,38.247879,16.499767,36.042300000000004,394.83,10,2024-08-11T12:24:01Z,2024-08-11T11:16:00Z,68,120,5,1.03,1.28,-3.76,3.76,-0.036243,0.036243,7.62e-4,7.52e-4,16.08
TRIOS_vs_VIIRS_N_vs_20240810T104548_RHOW.csv,TRIOS,VIIRS_N,19.453936,35.913342,19.461785999999996,35.922565000000006,1.25,10,2024-08-10T12:45:48Z,2024-08-10T14:48:00Z,122,120,5,1.19,0.74,21.09,21.09,0.21087,0.21087,0.004886,0.00395,107.01
TRIOS_vs_VIIRS_N_vs_20240810T104548_RHOW.csv,VIIRS_N,TRIOS,19.461785999999996,35.922565000000006,19.453936,35.913342,1.25,10,2024-08-10T14:48:00Z,2024-08-10T12:45:48Z,122,120,5,0.84,1.34,-21.09,21.09,-0.174147,0.174147,0.004886,0.00395,30.62
TRIOS_vs_VIIRS_N_vs_20240812T101056_RHOW.csv,TRIOS,VIIRS_N,15.158377999999997,36.579708000000004,17.86989,38.30404699999999,307.03,10,2024-08-12T12:10:56Z,2024-08-12T12:30:01Z,19,120,5,2.01,0.89,89.9,89.9,0.899013,0.899013,0.014765,0.011163,100.82
TRIOS_vs_VIIRS_N_vs_20240812T101056_RHOW.csv,VIIRS_N,TRIOS,17.86989,38.30404699999999,15.158377999999997,36.579708000000004,307.03,10,2024-08-12T12:30:01Z,2024-08-12T12:10:56Z,19,120,5,0.47,1.1,-89.9,89.9,-0.473411,0.473411,0.014765,0.011163,46.36
TRIOS_vs_VIIRS_N_vs_20240812T103643_RHOW.csv,TRIOS,VIIRS_N,15.147359999999997,36.572275000000005,17.86989,38.30404699999999,308.31,10,2024-08-12T12:36:43Z,2024-08-12T12:30:01Z,7,120,5,1.85,1.1,49.05,49.05,NA,NA,0.011646,0.009684,60.91
