file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Bias,Error,MRD,MARD,RMSE,MSA,MAPE
HYPERNETS_vs_TRIOS_vs_20240808T065700_ED.csv,Hyp,TRIOS,23.229217,36.074616999999996,23.235899,36.072849,0.63,10,2024-08-08T08:57:00Z,2024-08-08T08:54:45Z,2,20,321,0.92,0.93,-2.86,3.03,-0.027827,0.029426,29.45732,26.036465,3.14
HYPERNETS_vs_TRIOS_vs_20240808T065700_ED.csv,TRIOS,Hyp,23.235899,36.072849,23.229217,36.074616999999996,0.63,10,2024-08-08T08:54:45Z,2024-08-08T08:57:00Z,2,20,321,1.07,1.06,2.86,3.03,0.028624,0.030318,29.45732,26.036465,3.25
HYPERNETS_vs_TRIOS_vs_20240809T073700_ED.csv,Hyp,TRIOS,22.401483,36.0163,22.400873,36.015972000000005,0.07,10,2024-08-09T09:37:00Z,2024-08-09T09:39:34Z,3,20,321,0.93,0.93,-1.04,1.55,-0.010316,0.01522,26.835049,20.211806,2.07
HYPERNETS_vs_TRIOS_vs_20240809T073700_ED.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.401483,36.0163,0.07,10,2024-08-09T09:39:34Z,2024-08-09T09:37:00Z,3,20,321,1.06,1.06,1.04,1.55,0.010424,0.015456,26.835049,20.211806,2.1
HYPERNETS_vs_TRIOS_vs_20240809T074500_ED.csv,Hyp,TRIOS,22.400667,36.01495,22.400873,36.015972000000005,0.12,10,2024-08-09T09:45:00Z,2024-08-09T09:39:34Z,5,20,321,0.92,0.93,-2.96,3.15,-0.028717,0.030582,40.771047,34.884366,3.31
HYPERNETS_vs_TRIOS_vs_20240809T074500_ED.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.400667,36.01495,0.12,10,2024-08-09T09:39:34Z,2024-08-09T09:45:00Z,5,20,321,1.07,1.05,2.96,3.15,0.029566,0.031532,40.771047,34.884366,3.45
HYPERNETS_vs_TRIOS_vs_20240809T093000_ED.csv,Hyp,TRIOS,22.385299999999997,36.0155,22.405568999999996,36.002848,2.31,10,2024-08-09T11:30:00Z,2024-08-09T11:32:22Z,2,20,321,0.93,0.93,-1.87,2.12,-0.018381,0.020714,40.755684,32.657591,2.44
HYPERNETS_vs_TRIOS_vs_20240809T093000_ED.csv,TRIOS,Hyp,22.405568999999996,36.002848,22.385299999999997,36.0155,2.31,10,2024-08-09T11:32:22Z,2024-08-09T11:30:00Z,2,20,321,1.06,1.06,1.87,2.12,0.018725,0.021152,40.755684,32.657591,2.52
HYPERNETS_vs_TRIOS_vs_20240810T073600_ED.csv,Hyp,TRIOS,19.497817,35.983117,19.506292,35.982668999999994,0.77,10,2024-08-10T09:36:00Z,2024-08-10T09:33:54Z,2,20,321,0.92,0.93,-3.59,3.66,-0.034632,0.03528,40.856496,36.857365,3.74
HYPERNETS_vs_TRIOS_vs_20240810T073600_ED.csv,TRIOS,Hyp,19.506292,35.982668999999994,19.497817,35.983117,0.77,10,2024-08-10T09:33:54Z,2024-08-10T09:36:00Z,2,20,321,1.08,1.06,3.59,3.66,0.035874,0.03657,40.856496,36.857365,3.9
HYPERNETS_vs_TRIOS_vs_20240810T113000_ED.csv,Hyp,TRIOS,19.374117000000002,35.909317,19.361476,35.909326,1.14,10,2024-08-10T13:30:00Z,2024-08-10T13:37:03Z,7,20,321,0.96,0.94,1.04,1.34,0.010423,0.013381,30.566964,23.250269,1.91
HYPERNETS_vs_TRIOS_vs_20240810T113000_ED.csv,TRIOS,Hyp,19.361476,35.909326,19.374117000000002,35.909317,1.14,10,2024-08-10T13:37:03Z,2024-08-10T13:30:00Z,7,20,321,1.03,1.05,-1.04,1.34,-0.010316,0.013353,30.566964,23.250269,1.87
HYPERNETS_vs_TRIOS_vs_20240810T114500_ED.csv,Hyp,TRIOS,19.3462,35.9094,19.339481000000003,35.909440999999994,0.61,10,2024-08-10T13:45:00Z,2024-08-10T13:47:09Z,2,20,321,0.96,0.93,1.9,1.96,0.018977,0.019632,35.914835,29.309428,2.43
HYPERNETS_vs_TRIOS_vs_20240810T114500_ED.csv,TRIOS,Hyp,19.339481000000003,35.909440999999994,19.3462,35.9094,0.61,10,2024-08-10T13:47:09Z,2024-08-10T13:45:00Z,2,20,321,1.02,1.06,-1.9,1.96,-0.018624,0.019254,35.914835,29.309428,2.35
HYPERNETS_vs_TRIOS_vs_20240810T120000_ED.csv,Hyp,TRIOS,19.312732999999998,35.90995,19.306159,35.910015,0.59,10,2024-08-10T14:00:00Z,2024-08-10T14:02:35Z,3,20,321,0.93,0.93,-1.12,1.46,-0.011092,0.014489,33.090829,25.127261,1.96
HYPERNETS_vs_TRIOS_vs_20240810T120000_ED.csv,TRIOS,Hyp,19.306159,35.910015,19.312732999999998,35.90995,0.59,10,2024-08-10T14:02:35Z,2024-08-10T14:00:00Z,3,20,321,1.06,1.06,1.12,1.46,0.011216,0.01454,33.090829,25.127261,1.99
HYPERNETS_vs_TRIOS_vs_20240810T123000_ED.csv,Hyp,TRIOS,19.24585,35.91068299999999,19.246183,35.91064599999999,0.03,10,2024-08-10T14:30:00Z,2024-08-10T14:29:36Z,0,20,321,0.97,0.93,3.15,3.18,0.031541,0.03177,45.626215,40.386701,3.44
HYPERNETS_vs_TRIOS_vs_20240810T123000_ED.csv,TRIOS,Hyp,19.246183,35.91064599999999,19.24585,35.91068299999999,0.03,10,2024-08-10T14:29:36Z,2024-08-10T14:30:00Z,0,20,321,1.01,1.05,-3.15,3.18,-0.030577,0.030792,45.626215,40.386701,3.29
HYPERNETS_vs_TRIOS_vs_20240810T124500_ED.csv,Hyp,TRIOS,19.212332999999997,35.911117,19.210498,35.91108699999999,0.17,10,2024-08-10T14:45:00Z,2024-08-10T14:46:02Z,1,20,321,0.98,0.93,3.57,3.59,0.035681,0.035884,47.804314,43.120815,3.83
HYPERNETS_vs_TRIOS_vs_20240810T124500_ED.csv,TRIOS,Hyp,19.210498,35.91108699999999,19.212332999999997,35.911117,0.17,10,2024-08-10T14:46:02Z,2024-08-10T14:45:00Z,1,20,321,1.01,1.05,-3.57,3.59,-0.034452000000000003,0.034641,47.804314,43.120815,3.65
HYPERNETS_vs_TRIOS_vs_20240810T131500_ED.csv,Hyp,TRIOS,19.134100000000004,35.9121,19.140775,35.91197699999999,0.6,10,2024-08-10T15:15:00Z,2024-08-10T15:13:07Z,2,20,321,1.04,0.94,9.94,9.94,0.099403,0.099403,108.454686,106.125176,10.1
HYPERNETS_vs_TRIOS_vs_20240810T131500_ED.csv,TRIOS,Hyp,19.140775,35.91197699999999,19.134100000000004,35.9121,0.6,10,2024-08-10T15:13:07Z,2024-08-10T15:15:00Z,2,20,321,0.94,1.05,-9.94,9.94,-0.090415,0.090415,108.454686,106.125176,9.12
HYPERNETS_vs_TRIOS_vs_20240810T134500_ED.csv,Hyp,TRIOS,19.061617,35.913616999999995,19.065478,35.913428999999994,0.35,10,2024-08-10T15:45:00Z,2024-08-10T15:44:26Z,1,20,321,0.99,0.93,4.91,4.94,0.049105,0.049426,50.732554,48.21804,5.18
HYPERNETS_vs_TRIOS_vs_20240810T134500_ED.csv,TRIOS,Hyp,19.065478,35.913428999999994,19.061617,35.913616999999995,0.35,10,2024-08-10T15:44:26Z,2024-08-10T15:45:00Z,1,20,321,1,1.06,-4.91,4.94,-0.046807,0.047098,50.732554,48.21804,4.88
HYPERNETS_vs_TRIOS_vs_20240810T144500_ED.csv,Hyp,TRIOS,18.922216999999996,35.9153,18.923484,35.915265,0.11,10,2024-08-10T16:45:00Z,2024-08-10T16:44:14Z,1,20,321,1.1,0.96,14.51,14.51,0.145129,0.145129,99.516478,97.367294,14.43
HYPERNETS_vs_TRIOS_vs_20240810T144500_ED.csv,TRIOS,Hyp,18.923484,35.915265,18.922216999999996,35.9153,0.11,10,2024-08-10T16:44:14Z,2024-08-10T16:45:00Z,1,20,321,0.89,1.02,-14.51,14.51,-0.126736,0.126736,99.516478,97.367294,12.55
HYPERNETS_vs_TRIOS_vs_20240810T151500_ED.csv,Hyp,TRIOS,18.849783,35.915282999999995,18.880058000000002,35.914998999999995,2.73,10,2024-08-10T17:15:00Z,2024-08-10T17:02:18Z,13,20,321,1.18,0.94,23.63,23.63,0.236333,0.236333,131.191655,129.388085,23.78
HYPERNETS_vs_TRIOS_vs_20240810T151500_ED.csv,TRIOS,Hyp,18.880058000000002,35.914998999999995,18.849783,35.915282999999995,2.73,10,2024-08-10T17:02:18Z,2024-08-10T17:15:00Z,13,20,321,0.83,1.04,-23.63,23.63,-0.191157,0.191157,131.191655,129.388085,19.15
