var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dateTime_X,dateTime_Y,diff_time,n,Slope,MAPE,Bias,Error
LU,HYPERNETS_vs_TRIOS_vs_20240808T065700_LU.csv,Hyp,TRIOS,23.229217,36.074616999999996,23.235899,36.072849,0.63,2024-08-08T04:57:00Z,2024-08-08T04:54:45Z,2,321,1.07,28,-36.6,36.6
LU,HYPERNETS_vs_TRIOS_vs_20240808T065700_LU.csv,TRIOS,Hyp,23.235899,36.072849,23.229217,36.074616999999996,0.63,2024-08-08T04:54:45Z,2024-08-08T04:57:00Z,2,321,0.92,50.7,36.6,36.6
LU,HYPERNETS_vs_TRIOS_vs_20240809T073700_LU.csv,Hyp,TRIOS,22.401483,36.0163,22.400873,36.015972000000005,0.07,2024-08-09T05:37:00Z,2024-08-09T05:39:34Z,3,321,1.04,11.4,9.4,9.5
LU,HYPERNETS_vs_TRIOS_vs_20240809T073700_LU.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.401483,36.0163,0.07,2024-08-09T05:39:34Z,2024-08-09T05:37:00Z,3,321,0.96,9.9,-9.4,9.5
LU,HYPERNETS_vs_TRIOS_vs_20240809T074500_LU.csv,Hyp,TRIOS,22.400667,36.01495,22.400873,36.015972000000005,0.12,2024-08-09T05:45:00Z,2024-08-09T05:39:34Z,5,321,1.01,10.2,7,7.1
LU,HYPERNETS_vs_TRIOS_vs_20240809T074500_LU.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.400667,36.01495,0.12,2024-08-09T05:39:34Z,2024-08-09T05:45:00Z,5,321,0.99,8.8,-7,7.1
LU,HYPERNETS_vs_TRIOS_vs_20240809T093000_LU.csv,Hyp,TRIOS,22.385299999999997,36.0155,22.405568999999996,36.002848,2.31,2024-08-09T07:30:00Z,2024-08-09T07:32:22Z,2,321,1.01,3.4,-1,2.6
LU,HYPERNETS_vs_TRIOS_vs_20240809T093000_LU.csv,TRIOS,Hyp,22.405568999999996,36.002848,22.385299999999997,36.0155,2.31,2024-08-09T07:32:22Z,2024-08-09T07:30:00Z,2,321,0.98,3.4,1,2.6
LU,HYPERNETS_vs_TRIOS_vs_20240810T073600_LU.csv,Hyp,TRIOS,19.497817,35.983117,19.506292,35.982668999999994,0.77,2024-08-10T05:36:00Z,2024-08-10T05:33:54Z,2,321,0.99,19.6,-28.1,28.1
LU,HYPERNETS_vs_TRIOS_vs_20240810T073600_LU.csv,TRIOS,Hyp,19.506292,35.982668999999994,19.497817,35.983117,0.77,2024-08-10T05:33:54Z,2024-08-10T05:36:00Z,2,321,1,25.9,28.1,28.1
LU,HYPERNETS_vs_TRIOS_vs_20240810T113000_LU.csv,Hyp,TRIOS,19.374117000000002,35.909317,19.361476,35.909326,1.14,2024-08-10T09:30:00Z,2024-08-10T09:37:03Z,7,321,1.03,6.1,-6.4,7.1
LU,HYPERNETS_vs_TRIOS_vs_20240810T113000_LU.csv,TRIOS,Hyp,19.361476,35.909326,19.374117000000002,35.909317,1.14,2024-08-10T09:37:03Z,2024-08-10T09:30:00Z,7,321,0.97,6.6,6.4,7.1
LU,HYPERNETS_vs_TRIOS_vs_20240810T114500_LU.csv,Hyp,TRIOS,19.3462,35.9094,19.339481000000003,35.909440999999994,0.61,2024-08-10T09:45:00Z,2024-08-10T09:47:09Z,2,321,1.05,4.4,-0.5,4.2
LU,HYPERNETS_vs_TRIOS_vs_20240810T114500_LU.csv,TRIOS,Hyp,19.339481000000003,35.909440999999994,19.3462,35.9094,0.61,2024-08-10T09:47:09Z,2024-08-10T09:45:00Z,2,321,0.95,4.3,0.5,4.2
LU,HYPERNETS_vs_TRIOS_vs_20240810T120000_LU.csv,Hyp,TRIOS,19.312732999999998,35.90995,19.306159,35.910015,0.59,2024-08-10T10:00:00Z,2024-08-10T10:02:35Z,3,321,1.01,31.9,-50.4,50.4
LU,HYPERNETS_vs_TRIOS_vs_20240810T120000_LU.csv,TRIOS,Hyp,19.306159,35.910015,19.312732999999998,35.90995,0.59,2024-08-10T10:02:35Z,2024-08-10T10:00:00Z,3,321,0.98,58.1,50.4,50.4
LU,HYPERNETS_vs_TRIOS_vs_20240810T123000_LU.csv,Hyp,TRIOS,19.24585,35.91068299999999,19.246183,35.91064599999999,0.03,2024-08-10T10:30:00Z,2024-08-10T10:29:36Z,0,321,1.02,23.3,-31.6,31.6
LU,HYPERNETS_vs_TRIOS_vs_20240810T123000_LU.csv,TRIOS,Hyp,19.246183,35.91064599999999,19.24585,35.91068299999999,0.03,2024-08-10T10:29:36Z,2024-08-10T10:30:00Z,0,321,0.97,34.6,31.6,31.6
LU,HYPERNETS_vs_TRIOS_vs_20240810T124500_LU.csv,Hyp,TRIOS,19.212332999999997,35.911117,19.210498,35.91108699999999,0.17,2024-08-10T10:45:00Z,2024-08-10T10:46:02Z,1,321,1.05,4.3,-2.1,3.7
LU,HYPERNETS_vs_TRIOS_vs_20240810T124500_LU.csv,TRIOS,Hyp,19.210498,35.91108699999999,19.212332999999997,35.911117,0.17,2024-08-10T10:46:02Z,2024-08-10T10:45:00Z,1,321,0.95,4.3,2.1,3.7
LU,HYPERNETS_vs_TRIOS_vs_20240810T131500_LU.csv,Hyp,TRIOS,19.134100000000004,35.9121,19.140775,35.91197699999999,0.6,2024-08-10T11:15:00Z,2024-08-10T11:13:07Z,2,321,1.1,34.5,-67,67
LU,HYPERNETS_vs_TRIOS_vs_20240810T131500_LU.csv,TRIOS,Hyp,19.140775,35.91197699999999,19.134100000000004,35.9121,0.6,2024-08-10T11:13:07Z,2024-08-10T11:15:00Z,2,321,0.89,65.1,67,67
LU,HYPERNETS_vs_TRIOS_vs_20240810T134500_LU.csv,Hyp,TRIOS,19.061617,35.913616999999995,19.065478,35.913428999999994,0.35,2024-08-10T11:45:00Z,2024-08-10T11:44:26Z,1,321,1.08,29,-49.3,49.3
LU,HYPERNETS_vs_TRIOS_vs_20240810T134500_LU.csv,TRIOS,Hyp,19.065478,35.913428999999994,19.061617,35.913616999999995,0.35,2024-08-10T11:44:26Z,2024-08-10T11:45:00Z,1,321,0.91,49.2,49.3,49.3
LU,HYPERNETS_vs_TRIOS_vs_20240810T144500_LU.csv,Hyp,TRIOS,18.922216999999996,35.9153,18.923484,35.915265,0.11,2024-08-10T12:45:00Z,2024-08-10T12:44:14Z,1,321,1.09,44,-98.3,98.3
LU,HYPERNETS_vs_TRIOS_vs_20240810T144500_LU.csv,TRIOS,Hyp,18.923484,35.915265,18.922216999999996,35.9153,0.11,2024-08-10T12:44:14Z,2024-08-10T12:45:00Z,1,321,0.87,103.9,98.3,98.3
LU,HYPERNETS_vs_TRIOS_vs_20240810T151500_LU.csv,Hyp,TRIOS,18.849783,35.915282999999995,18.880058000000002,35.914998999999995,2.73,2024-08-10T13:15:00Z,2024-08-10T13:02:18Z,13,321,1.3,35.1,34.1,34.1
LU,HYPERNETS_vs_TRIOS_vs_20240810T151500_LU.csv,TRIOS,Hyp,18.880058000000002,35.914998999999995,18.849783,35.915282999999995,2.73,2024-08-10T13:02:18Z,2024-08-10T13:15:00Z,13,321,0.76,25.9,-34.1,34.1
LU,HYPERNETS_vs_TRIOS_vs_20240812T104500_LU.csv,Hyp,TRIOS,15.143232999999999,36.57005,15.143431,36.570156000000004,0.02,2024-08-12T08:45:00Z,2024-08-12T08:45:36Z,1,321,1.02,33.6,-52.4,52.4
LU,HYPERNETS_vs_TRIOS_vs_20240812T104500_LU.csv,TRIOS,Hyp,15.143431,36.570156000000004,15.143232999999999,36.57005,0.02,2024-08-12T08:45:36Z,2024-08-12T08:45:00Z,1,321,0.96,62.3,52.4,52.4
LU,HYPERNETS_vs_TRIOS_vs_20240812T113400_LU.csv,Hyp,TRIOS,15.132283,36.58408299999999,15.130457,36.580312000000006,0.45,2024-08-12T09:34:00Z,2024-08-12T09:31:36Z,2,321,1.02,6.1,4.8,4.9
LU,HYPERNETS_vs_TRIOS_vs_20240812T113400_LU.csv,TRIOS,Hyp,15.130457,36.580312000000006,15.132283,36.58408299999999,0.45,2024-08-12T09:31:36Z,2024-08-12T09:34:00Z,2,321,0.98,5.6,-4.8,4.9
LU,HYPERNETS_vs_TRIOS_vs_20240812T113700_LU.csv,Hyp,TRIOS,15.134182999999998,36.588333000000006,15.134279999999999,36.588713000000006,0.04,2024-08-12T09:37:00Z,2024-08-12T09:36:35Z,0,321,1.05,24.6,-33.4,33.4
LU,HYPERNETS_vs_TRIOS_vs_20240812T113700_LU.csv,TRIOS,Hyp,15.134279999999999,36.588713000000006,15.134182999999998,36.588333000000006,0.04,2024-08-12T09:36:35Z,2024-08-12T09:37:00Z,0,321,0.94,38.4,33.4,33.4
LU,HYPERNETS_vs_TRIOS_vs_20240812T114500_LU.csv,Hyp,TRIOS,15.140082999999999,36.601033,15.142036000000001,36.605829,0.56,2024-08-12T09:45:00Z,2024-08-12T09:47:01Z,2,321,1.01,6.9,-6.3,6.8
LU,HYPERNETS_vs_TRIOS_vs_20240812T114500_LU.csv,TRIOS,Hyp,15.142036000000001,36.605829,15.140082999999999,36.601033,0.56,2024-08-12T09:47:01Z,2024-08-12T09:45:00Z,2,321,0.99,7.5,6.3,6.8
LU,HYPERNETS_vs_TRIOS_vs_20240812T120000_LU.csv,Hyp,TRIOS,15.1553,36.62250000000001,15.156697000000001,36.624387,0.24,2024-08-12T10:00:00Z,2024-08-12T10:02:32Z,3,321,0.93,34.9,-54.7,54.7
LU,HYPERNETS_vs_TRIOS_vs_20240812T120000_LU.csv,TRIOS,Hyp,15.156697000000001,36.624387,15.1553,36.62250000000001,0.24,2024-08-12T10:02:32Z,2024-08-12T10:00:00Z,3,321,1.06,59.9,54.7,54.7
LU,HYPERNETS_vs_TRIOS_vs_20240813T080100_LU.csv,Hyp,TRIOS,15.532567,36.810317,15.537604,36.812231,0.5,2024-08-13T06:01:00Z,2024-08-13T06:02:49Z,2,321,1.44,34,-27.7,30.9
LU,HYPERNETS_vs_TRIOS_vs_20240813T080100_LU.csv,TRIOS,Hyp,15.537604,36.812231,15.532567,36.810317,0.5,2024-08-13T06:02:49Z,2024-08-13T06:01:00Z,2,321,0.68,66.6,27.7,30.9
LU,HYPERNETS_vs_TRIOS_vs_20240813T082000_LU.csv,Hyp,TRIOS,15.573633000000001,36.825183,15.56705,36.822964,0.64,2024-08-13T06:20:00Z,2024-08-13T06:18:14Z,2,321,1.22,36.8,-56.3,56.3
LU,HYPERNETS_vs_TRIOS_vs_20240813T082000_LU.csv,TRIOS,Hyp,15.56705,36.822964,15.573633000000001,36.825183,0.64,2024-08-13T06:18:14Z,2024-08-13T06:20:00Z,2,321,0.8,99.6,56.3,56.3
LU,HYPERNETS_vs_TRIOS_vs_20240813T084000_LU.csv,Hyp,TRIOS,15.621016999999998,36.839983,15.618001999999999,36.839055,0.29,2024-08-13T06:40:00Z,2024-08-13T06:39:24Z,1,321,1.31,23.5,-6.2,19.3
LU,HYPERNETS_vs_TRIOS_vs_20240813T084000_LU.csv,TRIOS,Hyp,15.618001999999999,36.839055,15.621016999999998,36.839983,0.29,2024-08-13T06:39:24Z,2024-08-13T06:40:00Z,1,321,0.76,31.2,6.2,19.3
LU,HYPERNETS_vs_TRIOS_vs_20240813T093100_LU.csv,Hyp,TRIOS,15.642916999999999,36.85099999999999,15.642878999999999,36.851138,0.02,2024-08-13T07:31:00Z,2024-08-13T07:28:34Z,2,321,1.11,20.1,-18.6,20.1
LU,HYPERNETS_vs_TRIOS_vs_20240813T093100_LU.csv,TRIOS,Hyp,15.642878999999999,36.851138,15.642916999999999,36.85099999999999,0.02,2024-08-13T07:28:34Z,2024-08-13T07:31:00Z,2,321,0.89,29.7,18.6,20.1
LU,HYPERNETS_vs_TRIOS_vs_20240813T094000_LU.csv,Hyp,TRIOS,15.64365,36.852582999999996,15.644079999999999,36.85318399999999,0.08,2024-08-13T07:40:00Z,2024-08-13T07:49:19Z,9,321,1.18,21.3,-13.6,19.9
LU,HYPERNETS_vs_TRIOS_vs_20240813T094000_LU.csv,TRIOS,Hyp,15.644079999999999,36.85318399999999,15.64365,36.852582999999996,0.08,2024-08-13T07:49:19Z,2024-08-13T07:40:00Z,9,321,0.84,30.5,13.6,19.9
LU,HYPERNETS_vs_TRIOS_vs_20240813T100100_LU.csv,Hyp,TRIOS,15.645199999999999,36.854716999999994,15.645167999999998,36.854769999999995,0.01,2024-08-13T08:01:00Z,2024-08-13T08:02:54Z,2,321,1.11,10.8,-4.8,9
LU,HYPERNETS_vs_TRIOS_vs_20240813T100100_LU.csv,TRIOS,Hyp,15.645167999999998,36.854769999999995,15.645199999999999,36.854716999999994,0.01,2024-08-13T08:02:54Z,2024-08-13T08:01:00Z,2,321,0.9,11.8,4.8,9
LU,HYPERNETS_vs_TRIOS_vs_20240813T102100_LU.csv,Hyp,TRIOS,15.64745,36.857549999999996,15.646745,36.856725,0.11,2024-08-13T08:21:00Z,2024-08-13T08:18:05Z,3,321,1.13,17.1,-11.6,16.6
LU,HYPERNETS_vs_TRIOS_vs_20240813T102100_LU.csv,TRIOS,Hyp,15.646745,36.856725,15.64745,36.857549999999996,0.11,2024-08-13T08:18:05Z,2024-08-13T08:21:00Z,3,321,0.88,22.2,11.6,16.6
LU,HYPERNETS_vs_TRIOS_vs_20240813T141000_LU.csv,Hyp,TRIOS,15.337183,37.194283,15.331060999999998,37.19951800000001,0.8,2024-08-13T12:10:00Z,2024-08-13T12:13:27Z,3,321,1.28,30.3,30.1,30.1
LU,HYPERNETS_vs_TRIOS_vs_20240813T141000_LU.csv,TRIOS,Hyp,15.331060999999998,37.19951800000001,15.337183,37.194283,0.8,2024-08-13T12:13:27Z,2024-08-13T12:10:00Z,3,321,0.77,23.1,-30.1,30.1
LU,HYPERNETS_vs_TRIOS_vs_20240813T142000_LU.csv,Hyp,TRIOS,15.3218,37.2076,15.305520000000001,37.221465,2.11,2024-08-13T12:20:00Z,2024-08-13T12:20:33Z,1,321,1.06,9.9,8.6,8.7
LU,HYPERNETS_vs_TRIOS_vs_20240813T142000_LU.csv,TRIOS,Hyp,15.305520000000001,37.221465,15.3218,37.2076,2.11,2024-08-13T12:20:33Z,2024-08-13T12:20:00Z,1,321,0.94,8.9,-8.6,8.7
LU,HYPERNETS_vs_TRIOS_vs_20240813T143000_LU.csv,Hyp,TRIOS,15.306400000000002,37.220867,15.302865,37.223897,0.46,2024-08-13T12:30:00Z,2024-08-13T12:32:09Z,2,321,1,22.9,-32.8,32.8
LU,HYPERNETS_vs_TRIOS_vs_20240813T143000_LU.csv,TRIOS,Hyp,15.302865,37.223897,15.306400000000002,37.220867,0.46,2024-08-13T12:32:09Z,2024-08-13T12:30:00Z,2,321,0.98,32.1,32.8,32.8
LU,HYPERNETS_vs_TRIOS_vs_20240813T144100_LU.csv,Hyp,TRIOS,15.291433,37.23445,15.287427999999998,37.23791200000001,0.52,2024-08-13T12:41:00Z,2024-08-13T12:42:50Z,2,321,0.93,48.8,-108.9,108.9
LU,HYPERNETS_vs_TRIOS_vs_20240813T144100_LU.csv,TRIOS,Hyp,15.287427999999998,37.23791200000001,15.291433,37.23445,0.52,2024-08-13T12:42:50Z,2024-08-13T12:41:00Z,2,321,1.01,118.7,108.9,108.9
LU,HYPERNETS_vs_TRIOS_vs_20240813T151000_LU.csv,Hyp,TRIOS,15.249216999999998,37.273666999999996,15.251042,37.27231500000001,0.22,2024-08-13T13:10:00Z,2024-08-13T13:08:20Z,2,321,1.03,6.3,-3.5,5.1
LU,HYPERNETS_vs_TRIOS_vs_20240813T151000_LU.csv,TRIOS,Hyp,15.251042,37.27231500000001,15.249216999999998,37.273666999999996,0.22,2024-08-13T13:08:20Z,2024-08-13T13:10:00Z,2,321,0.96,6.8,3.5,5.1
LU,HYPERNETS_vs_TRIOS_vs_20240814T071700_LU.csv,Hyp,TRIOS,15.386483000000002,37.4719,15.365538000000003,37.451155,2.96,2024-08-14T05:17:00Z,2024-08-14T05:02:56Z,14,321,0.81,16.1,-21.7,21.7
LU,HYPERNETS_vs_TRIOS_vs_20240814T071700_LU.csv,TRIOS,Hyp,15.365538000000003,37.451155,15.386483000000002,37.4719,2.96,2024-08-14T05:02:56Z,2024-08-14T05:17:00Z,14,321,1.23,19.7,21.7,21.7
LU,HYPERNETS_vs_TRIOS_vs_20240814T081100_LU.csv,Hyp,TRIOS,15.455067000000001,37.544,15.456053,37.54511300000001,0.15,2024-08-14T06:11:00Z,2024-08-14T06:12:47Z,2,321,1.05,33.9,33.2,33.2
LU,HYPERNETS_vs_TRIOS_vs_20240814T081100_LU.csv,TRIOS,Hyp,15.456053,37.54511300000001,15.455067000000001,37.544,0.15,2024-08-14T06:12:47Z,2024-08-14T06:11:00Z,2,321,0.95,24,-33.2,33.2
LU,HYPERNETS_vs_TRIOS_vs_20240814T095000_LU.csv,Hyp,TRIOS,15.494167,37.58986699999999,15.494843,37.59063200000001,0.1,2024-08-14T07:50:00Z,2024-08-14T07:48:57Z,1,321,0.99,7.3,5.8,5.9
LU,HYPERNETS_vs_TRIOS_vs_20240814T095000_LU.csv,TRIOS,Hyp,15.494843,37.59063200000001,15.494167,37.58986699999999,0.1,2024-08-14T07:48:57Z,2024-08-14T07:50:00Z,1,321,1,6.6,-5.8,5.9
LU,HYPERNETS_vs_TRIOS_vs_20240814T100000_LU.csv,Hyp,TRIOS,15.49075,37.586282999999995,15.489222,37.584956999999996,0.2,2024-08-14T08:00:00Z,2024-08-14T08:02:47Z,3,321,1,10,7.3,7.4
LU,HYPERNETS_vs_TRIOS_vs_20240814T100000_LU.csv,TRIOS,Hyp,15.489222,37.584956999999996,15.49075,37.586282999999995,0.2,2024-08-14T08:02:47Z,2024-08-14T08:00:00Z,3,321,0.99,8.7,-7.3,7.4
LU,HYPERNETS_vs_TRIOS_vs_20240814T101100_LU.csv,Hyp,TRIOS,15.4845,37.580999999999996,15.48502,37.581365,0.06,2024-08-14T08:11:00Z,2024-08-14T08:13:09Z,2,321,1,9.1,5.4,5.5
LU,HYPERNETS_vs_TRIOS_vs_20240814T101100_LU.csv,TRIOS,Hyp,15.48502,37.581365,15.4845,37.580999999999996,0.06,2024-08-14T08:13:09Z,2024-08-14T08:11:00Z,2,321,1,7.9,-5.4,5.5
LU,HYPERNETS_vs_TRIOS_vs_20240814T102100_LU.csv,Hyp,TRIOS,15.480550000000001,37.577766999999994,15.481237,37.578267,0.08,2024-08-14T08:21:00Z,2024-08-14T08:23:20Z,2,321,1.02,14,9.9,10
LU,HYPERNETS_vs_TRIOS_vs_20240814T102100_LU.csv,TRIOS,Hyp,15.481237,37.578267,15.480550000000001,37.577766999999994,0.08,2024-08-14T08:23:20Z,2024-08-14T08:21:00Z,2,321,0.98,11.5,-9.9,10
LU,HYPERNETS_vs_TRIOS_vs_20240814T103000_LU.csv,Hyp,TRIOS,15.480550000000001,37.577766999999994,15.479555000000001,37.576855,0.13,2024-08-14T08:30:00Z,2024-08-14T08:28:28Z,2,321,1.02,9.6,6.6,6.8
LU,HYPERNETS_vs_TRIOS_vs_20240814T103000_LU.csv,TRIOS,Hyp,15.479555000000001,37.576855,15.480550000000001,37.577766999999994,0.13,2024-08-14T08:28:28Z,2024-08-14T08:30:00Z,2,321,0.98,8.4,-6.6,6.8
LU,HYPERNETS_vs_TRIOS_vs_20240814T114100_LU.csv,Hyp,TRIOS,15.5009,37.688733000000006,15.50315,37.697373000000006,0.98,2024-08-14T09:41:00Z,2024-08-14T09:44:34Z,4,321,0.97,17.5,-23.9,23.9
LU,HYPERNETS_vs_TRIOS_vs_20240814T114100_LU.csv,TRIOS,Hyp,15.50315,37.697373000000006,15.5009,37.688733000000006,0.98,2024-08-14T09:44:34Z,2024-08-14T09:41:00Z,4,321,1.02,22,23.9,23.9
LU,HYPERNETS_vs_TRIOS_vs_20240815T091000_LU.csv,Hyp,TRIOS,15.38855,38.539567,15.389395,38.539622,0.07,2024-08-15T07:10:00Z,2024-08-15T07:07:50Z,2,321,1.04,39.8,28.9,28.9
LU,HYPERNETS_vs_TRIOS_vs_20240815T091000_LU.csv,TRIOS,Hyp,15.389395,38.539622,15.38855,38.539567,0.07,2024-08-15T07:07:50Z,2024-08-15T07:10:00Z,2,321,0.96,25.6,-28.9,28.9
LU,HYPERNETS_vs_TRIOS_vs_20240815T092000_LU.csv,Hyp,TRIOS,15.3877,38.539233,15.387983,38.539258000000004,0.02,2024-08-15T07:20:00Z,2024-08-15T07:18:00Z,2,321,0.92,36.8,-53.2,53.2
LU,HYPERNETS_vs_TRIOS_vs_20240815T092000_LU.csv,TRIOS,Hyp,15.387983,38.539258000000004,15.3877,38.539233,0.02,2024-08-15T07:18:00Z,2024-08-15T07:20:00Z,2,321,1.07,72.1,53.2,53.2
LU,HYPERNETS_vs_TRIOS_vs_20240815T094500_LU.csv,Hyp,TRIOS,15.3838,38.537150000000004,15.3841,38.537472,0.04,2024-08-15T07:45:00Z,2024-08-15T07:45:24Z,0,321,0.97,27.7,-32.9,32.9
LU,HYPERNETS_vs_TRIOS_vs_20240815T094500_LU.csv,TRIOS,Hyp,15.3841,38.537472,15.3838,38.537150000000004,0.04,2024-08-15T07:45:24Z,2024-08-15T07:45:00Z,0,321,1.02,46.3,32.9,32.9
LU,HYPERNETS_vs_TRIOS_vs_20240815T103000_LU.csv,Hyp,TRIOS,15.376033000000001,38.533066999999996,15.375050000000002,38.533955000000006,0.13,2024-08-15T08:30:00Z,2024-08-15T08:29:22Z,1,321,1,10.4,7.2,7.3
LU,HYPERNETS_vs_TRIOS_vs_20240815T103000_LU.csv,TRIOS,Hyp,15.375050000000002,38.533955000000006,15.376033000000001,38.533066999999996,0.13,2024-08-15T08:29:22Z,2024-08-15T08:30:00Z,1,321,1,8.9,-7.2,7.3
LU,HYPERNETS_vs_TRIOS_vs_20240815T104100_LU.csv,Hyp,TRIOS,15.366333000000001,38.54425,15.366558000000001,38.543917,0.04,2024-08-15T08:41:00Z,2024-08-15T08:39:47Z,1,321,1.01,8.4,5.7,5.8
LU,HYPERNETS_vs_TRIOS_vs_20240815T104100_LU.csv,TRIOS,Hyp,15.366558000000001,38.543917,15.366333000000001,38.54425,0.04,2024-08-15T08:39:47Z,2024-08-15T08:41:00Z,1,321,0.99,7.5,-5.7,5.8
