var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
LW,HYPERNETS_vs_TRIOS_vs_20240808T065700_LW.csv,Hyp,TRIOS,23.229217,36.074616999999996,23.235899,36.072849,0.63,10,2024-08-08T08:57:00Z,2024-08-08T08:54:45Z,2,20,321,1.0577,1.9568,1.0516,1.0618,1.0721,-1.000404,-0.961126,-0.922225,NA,TRUE,TRUE,0.789802,0.751183,42.3021,-0.834329,-0.323739,-0.073825,0.079025,0.323739,0.834329,-503.6059,-47.8718,-7.971,8.5302,47.8718,503.6059
LW,HYPERNETS_vs_TRIOS_vs_20240808T065700_LW.csv,TRIOS,Hyp,23.235899,36.072849,23.229217,36.074616999999996,0.63,10,2024-08-08T08:54:45Z,2024-08-08T08:57:00Z,2,20,321,0.9382,0.4887,0.9328,0.9418,0.951,0.877008,0.905217,0.933155,NA,TRUE,TRUE,0.789802,0.751183,245.8864,0.07971,0.478718,5.036059,0.084033,0.478718,5.036059,7.971,47.8718,503.6059,8.5302,47.8718,503.6059
LW,HYPERNETS_vs_TRIOS_vs_20240809T073700_LW.csv,Hyp,TRIOS,22.401483,36.0163,22.400873,36.015972000000005,0.07,10,2024-08-09T09:37:00Z,2024-08-09T09:39:34Z,3,20,321,0.9983,1.1536,0.9941,0.9995,1.005,-0.061234,-0.040101,-0.019084,NA,FALSE,TRUE,0.196099,0.124459,16.3103,-0.372726,-0.024022,-0.002413,0.014071,0.051421,0.372726,-59.4201,-2.4614,-0.2419,1.4179,5.2349,59.4201
LW,HYPERNETS_vs_TRIOS_vs_20240809T073700_LW.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.401483,36.0163,0.07,10,2024-08-09T09:39:34Z,2024-08-09T09:37:00Z,3,20,321,0.9992,0.8625,0.995,1.0005,1.006,0.019198,0.04012,0.060928,NA,FALSE,TRUE,0.196099,0.124459,27.9381,0.002419,0.024614,0.594201,0.013981,0.052349,0.594201,0.2419,2.4614,59.4201,1.4179,5.2349,59.4201
LW,HYPERNETS_vs_TRIOS_vs_20240809T074500_LW.csv,Hyp,TRIOS,22.400667,36.01495,22.400873,36.015972000000005,0.12,10,2024-08-09T09:45:00Z,2024-08-09T09:39:34Z,5,20,321,0.9669,1.1369,0.9629,0.9681,0.9733,-0.053947,-0.033335,-0.012832,NA,TRUE,TRUE,0.278771,0.194476,16.9124,-0.349665,-0.055549,-0.032519,0.036072,0.059218,0.349665,-53.7669,-5.8816,-3.3612,3.7422,6.2945,53.7669
LW,HYPERNETS_vs_TRIOS_vs_20240809T074500_LW.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.400667,36.01495,0.12,10,2024-08-09T09:39:34Z,2024-08-09T09:45:00Z,5,20,321,1.0317,0.8756,1.0274,1.033,1.0385,0.013327,0.034434,0.055428,NA,TRUE,TRUE,0.278771,0.194476,27.8152,0.033612,0.058816,0.537669,0.037138,0.062945,0.537669,3.3612,5.8816,53.7669,3.7422,6.2945,53.7669
LW,HYPERNETS_vs_TRIOS_vs_20240809T093000_LW.csv,Hyp,TRIOS,22.385299999999997,36.0155,22.405568999999996,36.002848,2.31,10,2024-08-09T11:30:00Z,2024-08-09T11:32:22Z,2,20,321,0.96,2.0717,0.9552,0.9619,0.9686,-0.846856,-0.805682,-0.764794,NA,TRUE,TRUE,1.112566,1.051474,44.6202,-0.908167,-0.291238,-0.105499,0.105499,0.291238,0.908167,-988.9348,-41.091,-11.7942,11.7942,41.091,988.9348
LW,HYPERNETS_vs_TRIOS_vs_20240809T093000_LW.csv,TRIOS,Hyp,22.405568999999996,36.002848,22.385299999999997,36.0155,2.31,10,2024-08-09T11:32:22Z,2024-08-09T11:30:00Z,2,20,321,1.0375,0.4398,1.0324,1.0396,1.0469,0.800662,0.837605,0.87429,NA,TRUE,TRUE,1.112566,1.051474,1227.6103,0.117942,0.41091,9.889348,0.117942,0.41091,9.889348,11.7942,41.091,988.9348,11.7942,41.091,988.9348
LW,HYPERNETS_vs_TRIOS_vs_20240810T073600_LW.csv,Hyp,TRIOS,19.497817,35.983117,19.506292,35.982668999999994,0.77,10,2024-08-10T09:36:00Z,2024-08-10T09:33:54Z,2,20,321,0.8972,2.846,0.8977,0.9197,0.9423,-4.828482,-4.610963,-4.398648,NA,TRUE,TRUE,5.474421,5.385492,65.4178,-0.911616,-0.699945,-0.394756,0.394756,0.699945,0.911616,-1031.431,-233.2717,-65.2227,65.2227,233.2717,1031.431
LW,HYPERNETS_vs_TRIOS_vs_20240810T073600_LW.csv,TRIOS,Hyp,19.506292,35.982668999999994,19.497817,35.983117,0.77,10,2024-08-10T09:33:54Z,2024-08-10T09:36:00Z,2,20,321,1.0607,0.3271,1.0613,1.0873,1.1139,4.899867,5.013467,5.124349,NA,TRUE,TRUE,5.474421,5.385492,495.0422,0.652227,2.332717,10.31431,0.652227,2.332717,10.31431,65.2227,233.2717,1031.431,65.2227,233.2717,1031.431
LW,HYPERNETS_vs_TRIOS_vs_20240810T113000_LW.csv,Hyp,TRIOS,19.374117000000002,35.909317,19.361476,35.909326,1.14,10,2024-08-10T13:30:00Z,2024-08-10T13:37:03Z,7,20,321,0.9865,2.2822,0.9806,0.993,1.0055,-3.153092,-3.04019,-2.928698,NA,FALSE,TRUE,3.176564,3.103307,53.4374,-0.890872,-0.526773,-0.20266,0.20266,0.526773,0.890872,-816.3571,-111.3152,-25.417,25.417,111.3152,816.3571
