var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS_vs_AQUA_vs_20240810T110400_RHOW.csv,Hyp,AQUA,19.429983,35.909317,19.461026999999998,35.892426,3.37,10,2024-08-10T13:04:00Z,2024-08-10T14:40:01Z,96,120,8,1.0799,1.0217,1.0381,1.0808,1.1253,-8.57e-4,-1.44e-4,5.4e-4,NA,TRUE,FALSE,0.001682,0.001159,6.6355,0.018725,0.058438,0.073761,0.034797,0.058438,0.073761,1.8533,5.8438,7.3589,3.5822,5.8438,7.3589
RHOW,HYPERNETS_vs_AQUA_vs_20240810T110400_RHOW.csv,AQUA,Hyp,19.461026999999998,35.892426,19.429983,35.909317,3.37,10,2024-08-10T14:40:01Z,2024-08-10T13:04:00Z,96,120,8,0.9245,0.9779,0.8887,0.9253,0.9633,-5.2e-4,1.34e-4,7.62e-4,NA,TRUE,FALSE,0.001682,0.001159,6.1042,-0.068397,-0.055211,-0.018009,0.035608,0.055211,0.068397,-7.3589,-5.8438,-1.8533,3.5822,5.8438,7.3589
RHOW,HYPERNETS_vs_AQUA_vs_20240810T110900_RHOW.csv,Hyp,AQUA,19.424367,35.90945,19.44887,35.890907,3.02,10,2024-08-10T13:09:00Z,2024-08-10T14:40:01Z,91,120,8,1.1092,1.2312,1.0634,1.1102,1.1591,-0.001645,-8.51e-4,-9.1e-5,NA,TRUE,TRUE,0.001826,0.001279,16.9361,-0.11884,0.043165,0.06397,0.052375,0.064288,0.214736,-18.1968,4.3002,6.397,5.2253,6.4288,29.4442
RHOW,HYPERNETS_vs_AQUA_vs_20240810T110900_RHOW.csv,AQUA,Hyp,19.44887,35.890907,19.424367,35.90945,3.02,10,2024-08-10T14:40:01Z,2024-08-10T13:09:00Z,91,120,8,0.8999,0.8045,0.8628,0.9007,0.9404,8.5e-5,7.67e-4,0.00142,NA,TRUE,TRUE,0.001826,0.001279,29.5956,-0.060124,-0.04108,0.243978,0.049546,0.060404,0.330239,-6.397,-4.3002,18.1968,5.2253,6.4288,29.4442
RHOW,HYPERNETS_vs_AQUA_vs_20240810T111800_RHOW.csv,Hyp,AQUA,19.402032999999996,35.909333000000004,19.434959000000003,35.898693,3.2,10,2024-08-10T13:18:00Z,2024-08-10T14:40:01Z,82,120,8,1.0171,1.3617,0.9869,1.0175,1.0491,-0.002,-0.001424,-8.66e-4,NA,FALSE,TRUE,0.001216,0.001137,22.6677,-0.288428,-0.103139,-0.039766,0.039766,0.103139,0.288428,-50.5186,-11.5797,-4.1415,4.1415,11.5797,50.5186
RHOW,HYPERNETS_vs_AQUA_vs_20240810T111800_RHOW.csv,AQUA,Hyp,19.434959000000003,35.898693,19.402032999999996,35.909333000000004,3.2,10,2024-08-10T14:40:01Z,2024-08-10T13:18:00Z,82,120,8,0.9823,0.7239,0.9532,0.9828,1.0132,8.77e-4,0.0014,0.001907,NA,FALSE,TRUE,0.001216,0.001137,60.2467,0.041417,0.116594,0.651244,0.041417,0.116594,0.651244,4.1415,11.5797,50.5186,4.1415,11.5797,50.5186
RHOW,HYPERNETS_vs_AQUA_vs_20240810T113000_RHOW.csv,Hyp,AQUA,19.374117000000002,35.909317,19.398611,35.894131,2.78,10,2024-08-10T13:30:00Z,2024-08-10T14:40:01Z,70,120,8,1.0301,1.2778,0.9975,1.0306,1.0649,-0.001653,-0.001052,-4.71e-4,NA,FALSE,TRUE,8.24e-4,7.8e-4,19.0636,-0.241566,-0.065672,-0.015645,0.024352,0.065672,0.241566,-38.4082,-7.0467,-1.5895,2.4412,7.0467,38.4082
RHOW,HYPERNETS_vs_AQUA_vs_20240810T113000_RHOW.csv,AQUA,Hyp,19.398611,35.894131,19.374117000000002,35.909317,2.78,10,2024-08-10T14:40:01Z,2024-08-10T13:30:00Z,70,120,8,0.9698,0.7758,0.9391,0.9703,1.0026,4.72e-4,0.001021,0.001552,NA,FALSE,TRUE,8.24e-4,7.8e-4,42.8736,0.015896,0.070647,0.473167,0.023891,0.070647,0.473167,1.5895,7.0467,38.4082,2.4412,7.0467,38.4082
RHOW,HYPERNETS_vs_AQUA_vs_20240810T114500_RHOW.csv,Hyp,AQUA,19.3462,35.9094,19.374445,35.89109,3.26,10,2024-08-10T13:45:00Z,2024-08-10T14:40:01Z,55,120,8,1.0209,0.9791,0.9892,1.0214,1.0548,-6.17e-4,-5.8e-5,4.83e-4,NA,FALSE,FALSE,6.36e-4,3.98e-4,4.8523,0.0032,0.026648,0.084298,0.010324,0.028643,0.084298,0.3178,2.6528,8.4223,1.0341,2.8667,8.4223
RHOW,HYPERNETS_vs_AQUA_vs_20240810T114500_RHOW.csv,AQUA,Hyp,19.374445,35.89109,19.3462,35.9094,3.26,10,2024-08-10T14:40:01Z,2024-08-10T13:45:00Z,55,120,8,0.9785,1.021,0.9481,0.979,1.0109,-4.88e-4,5.7e-5,5.85e-4,NA,FALSE,FALSE,6.36e-4,3.98e-4,4.4722,-0.077617,-0.025729,-0.003145,0.010252,0.027897,0.077617,-8.4223,-2.6528,-0.3178,1.0341,2.8667,8.4223
