var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS_vs_PACE_V2_vs_20240809T090000_RHOW.csv,Hyp,PACE_V2,22.403499999999998,36.007133,22.382051,35.982991,3.31,10,2024-08-09T11:00:00Z,2024-08-09T12:50:59Z,111,120,321,1.1593,0.9613,1.1556,1.16,1.1645,1.45e-4,1.96e-4,2.48e-4,NA,TRUE,TRUE,0.002848,0.002047,29.9226,0.151326,0.199032,0.274031,0.153988,0.206022,0.283598,15.1326,19.9032,27.4031,15.3988,20.7566,28.4389
RHOW,HYPERNETS_vs_PACE_V2_vs_20240809T090000_RHOW.csv,PACE_V2,Hyp,22.382051,35.982991,22.403499999999998,36.007133,3.31,10,2024-08-09T12:50:59Z,2024-08-09T11:00:00Z,111,120,321,0.8615,1.027,0.8587,0.862,0.8654,-2.14e-4,-1.69e-4,-1.24e-4,NA,TRUE,TRUE,0.002848,0.002047,20.5146,-0.21509,-0.165994,-0.131436,0.13344,0.171935,0.224043,-27.4031,-19.9032,-15.1326,15.3988,20.7566,28.4389
RHOW,HYPERNETS_vs_PACE_V2_vs_20240809T091500_RHOW.csv,Hyp,PACE_V2,22.3931,36.0119,22.356168000000004,35.999500000000005,3.6,10,2024-08-09T11:15:00Z,2024-08-09T12:50:59Z,96,120,321,1.1463,1.0228,1.1424,1.1471,1.1517,-1.1e-5,4.4e-5,9.9e-5,NA,TRUE,FALSE,0.002594,0.001822,19.9694,0.109738,0.140618,0.196731,0.126579,0.159536,0.21054,10.9738,14.0618,19.6731,12.8339,16.0141,21.5164
RHOW,HYPERNETS_vs_PACE_V2_vs_20240809T091500_RHOW.csv,PACE_V2,Hyp,22.356168000000004,35.999500000000005,22.3931,36.0119,3.6,10,2024-08-09T12:50:59Z,2024-08-09T11:15:00Z,96,120,321,0.8712,0.9666,0.8683,0.8718,0.8753,-8.7e-5,-3.8e-5,1e-5,NA,TRUE,FALSE,0.002594,0.001822,17.1751,-0.16439,-0.123282,-0.098886,0.114125,0.139884,0.177752,-19.6731,-14.0618,-10.9738,12.8339,16.0141,21.5164
RHOW,HYPERNETS_vs_PACE_V2_vs_20240809T093000_RHOW.csv,Hyp,PACE_V2,22.385299999999997,36.0155,22.356168000000004,35.999500000000005,3.17,10,2024-08-09T11:30:00Z,2024-08-09T12:50:59Z,81,120,321,1.0485,1.0874,1.0458,1.0489,1.0519,-1.53e-4,-1.13e-4,-7.4e-5,NA,TRUE,TRUE,9.19e-4,6.51e-4,13.3599,-0.217233,0.035764,0.053687,0.037502,0.056166,0.241475,-27.7519,3.5764,5.3687,3.7502,5.6166,30.5388
RHOW,HYPERNETS_vs_PACE_V2_vs_20240809T093000_RHOW.csv,PACE_V2,Hyp,22.356168000000004,35.999500000000005,22.385299999999997,36.0155,3.17,10,2024-08-09T12:50:59Z,2024-08-09T11:30:00Z,81,120,321,0.9531,0.9112,0.9507,0.9534,0.9562,7e-5,1.08e-4,1.45e-4,NA,TRUE,TRUE,9.19e-4,6.51e-4,18.6521,-0.050952,-0.034529,0.277519,0.036206,0.053263,0.280571,-5.3687,-3.5764,27.7519,3.7502,5.6166,30.5388
RHOW,HYPERNETS_vs_PACE_V2_vs_20240810T110400_RHOW.csv,Hyp,PACE_V2,19.429983,35.909317,19.416345999999997,35.889412,2.53,10,2024-08-10T13:04:00Z,2024-08-10T13:25:31Z,22,120,321,1.0671,1.1078,1.0641,1.0675,1.071,-1.42e-4,-9.5e-5,-4.9e-5,NA,TRUE,TRUE,0.001317,9.79e-4,16.674,-0.179425,0.055885,0.083011,0.057755,0.086749,0.269456,-21.8658,5.5885,8.3011,5.7755,8.6749,32.6461
RHOW,HYPERNETS_vs_PACE_V2_vs_20240810T110400_RHOW.csv,PACE_V2,Hyp,19.416345999999997,35.889412,19.429983,35.909317,2.53,10,2024-08-10T13:25:31Z,2024-08-10T13:04:00Z,22,120,321,0.9363,0.8892,0.9337,0.9367,0.9398,4.6e-5,8.9e-5,1.32e-4,NA,TRUE,TRUE,0.001317,9.79e-4,23.3647,-0.076648,-0.052927,0.218658,0.054602,0.080704,0.289605,-8.3011,-5.5885,21.8658,5.7755,8.6749,32.6461
RHOW,HYPERNETS_vs_PACE_V2_vs_20240810T110900_RHOW.csv,Hyp,PACE_V2,19.424367,35.90945,19.391099,35.889412,3.74,10,2024-08-10T13:09:00Z,2024-08-10T13:25:31Z,17,120,321,1.1027,1.3182,1.0989,1.1034,1.108,-8.18e-4,-7.56e-4,-6.94e-4,NA,TRUE,TRUE,0.001646,0.001262,24.2262,-0.526604,0.04057,0.070245,0.058438,0.083604,0.526604,-111.2397,4.057,7.0245,5.8637,8.4226,111.2397
RHOW,HYPERNETS_vs_PACE_V2_vs_20240810T110900_RHOW.csv,PACE_V2,Hyp,19.391099,35.889412,19.424367,35.90945,3.74,10,2024-08-10T13:25:31Z,2024-08-10T13:09:00Z,17,120,321,0.9056,0.7379,0.9025,0.9063,0.91,6.31e-4,6.85e-4,7.38e-4,NA,TRUE,TRUE,0.001646,0.001262,61.511,-0.065634,-0.038988,1.112397,0.05547,0.077683,1.112397,-7.0245,-4.057,111.2397,5.8637,8.4226,111.2397
