var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS_vs_S3A_V4_vs_20240808T065700_RHOW.csv,Hyp,S3A,23.229217,36.074616999999996,23.231971000000005,36.079862,0.63,10,2024-08-08T08:57:00Z,2024-08-08T10:50:07Z,113,120,10,1.2471,0.9784,1.1891,1.2495,1.3128,-9.22e-4,-1.79e-4,5.27e-4,NA,TRUE,FALSE,0.004127,0.002741,27.7564,0.175141,0.241804,0.303604,0.175141,0.241804,0.303604,17.5095,24.1755,30.3585,17.5095,24.1755,30.3585
RHOW,HYPERNETS_vs_S3A_V4_vs_20240808T065700_RHOW.csv,S3A,Hyp,23.231971000000005,36.079862,23.229217,36.074616999999996,0.63,10,2024-08-08T10:50:07Z,2024-08-08T08:57:00Z,113,120,10,0.7989,1.0182,0.7617,0.8004,0.841,-4.43e-4,1.44e-4,7.02e-4,NA,TRUE,FALSE,0.004127,0.002741,20.5912,-0.232874,-0.194657,-0.148972,0.148972,0.194657,0.232874,-30.3585,-24.1755,-17.5095,17.5095,24.1755,30.3585
RHOW,HYPERNETS_vs_S3A_V4_vs_20240809T080000_RHOW.csv,Hyp,S3A,22.4008,36.014333,22.395764,36.019598,0.74,10,2024-08-09T10:00:00Z,2024-08-09T10:23:56Z,24,120,10,1.2014,1.0457,1.1571,1.2028,1.2503,-8.85e-4,-3.08e-4,2.48e-4,NA,TRUE,FALSE,0.003414,0.002173,13.0339,0.044836,0.125827,0.157805,0.103228,0.125827,0.157805,4.4382,12.5799,15.7782,10.355,13.2804,15.7782
RHOW,HYPERNETS_vs_S3A_V4_vs_20240809T080000_RHOW.csv,S3A,Hyp,22.395764,36.019598,22.4008,36.014333,0.74,10,2024-08-09T10:23:56Z,2024-08-09T10:00:00Z,24,120,10,0.8305,0.9554,0.7998,0.8314,0.8642,-2.14e-4,2.56e-4,7.08e-4,NA,TRUE,FALSE,0.003414,0.002173,11.6741,-0.136262,-0.11172,-0.042089,0.093808,0.122345,0.137549,-15.7782,-12.5799,-4.4382,10.355,13.2804,15.7782
RHOW,HYPERNETS_vs_S3A_V4_vs_20240811T075200_RHOW.csv,Hyp,S3A,16.607950000000006,36.048700000000004,16.604413,36.05608599999999,0.88,10,2024-08-11T09:52:00Z,2024-08-11T11:12:33Z,81,120,10,1.0521,1.0143,1.0182,1.053,1.089,-6.88e-4,-2.13e-4,2.46e-4,NA,TRUE,FALSE,0.001043,5.66e-4,4.4791,-0.018341,0.017153,0.039298,0.020322,0.026676,0.070781,-1.869,1.7148,3.9268,2.0618,2.7067,7.0667
RHOW,HYPERNETS_vs_S3A_V4_vs_20240811T075200_RHOW.csv,S3A,Hyp,16.604413,36.05608599999999,16.607950000000006,36.048700000000004,0.88,10,2024-08-11T11:12:33Z,2024-08-11T09:52:00Z,81,120,10,0.9488,0.9852,0.9183,0.9496,0.9821,-2.41e-4,2.02e-4,6.32e-4,NA,TRUE,FALSE,0.001043,5.66e-4,4.4948,-0.037757,-0.016853,0.018695,0.020306,0.026745,0.065902,-3.9268,-1.7148,1.869,2.0618,2.7067,7.0667
RHOW,HYPERNETS_vs_S3A_V4_vs_20240811T080300_RHOW.csv,Hyp,S3A,16.5912,36.049383,16.585811,36.05688299999999,0.97,10,2024-08-11T10:03:00Z,2024-08-11T11:12:33Z,70,120,10,1.036,1.1508,1.0081,1.0366,1.0659,-9.07e-4,-5.09e-4,-1.23e-4,NA,TRUE,TRUE,6.94e-4,5e-4,18.7888,-0.377377,-0.075909,-0.004078,0.023436,0.088511,0.377377,-60.7844,-8.3539,-0.4146,2.4004,9.6265,60.7844
RHOW,HYPERNETS_vs_S3A_V4_vs_20240811T080300_RHOW.csv,S3A,Hyp,16.585811,36.05688299999999,16.5912,36.049383,0.97,10,2024-08-11T11:12:33Z,2024-08-11T10:03:00Z,70,120,10,0.9641,0.868,0.9382,0.9647,0.9919,1.22e-4,4.91e-4,8.51e-4,NA,TRUE,TRUE,6.94e-4,5e-4,30.7897,0.004199,0.084935,0.609521,0.024009,0.095706,0.609521,0.4146,8.3539,60.7844,2.4004,9.6265,60.7844
RHOW,HYPERNETS_vs_S3A_V4_vs_20240815T094500_RHOW.csv,Hyp,S3A,15.3838,38.537150000000004,15.382093000000001,38.543366999999996,0.71,10,2024-08-15T11:45:00Z,2024-08-15T11:08:48Z,36,120,10,0.9474,1.0996,0.9259,0.9478,0.9703,-3.1e-4,-7.9e-5,1.46e-4,NA,TRUE,FALSE,8.51e-4,6.16e-4,15.5736,-0.304017,-0.06478,-0.046857,0.046857,0.06478,0.304017,-46.0111,-6.9269,-4.9166,4.9166,6.9269,46.0111
RHOW,HYPERNETS_vs_S3A_V4_vs_20240815T094500_RHOW.csv,S3A,Hyp,15.382093000000001,38.543366999999996,15.3838,38.537150000000004,0.71,10,2024-08-15T11:08:48Z,2024-08-15T11:45:00Z,36,120,10,1.0546,0.9039,1.0306,1.0551,1.08,-1.58e-4,8.3e-5,3.2e-4,NA,TRUE,FALSE,8.51e-4,6.16e-4,24.343,0.049172,0.06927,0.480817,0.049172,0.06927,0.480817,4.9166,6.9269,46.0111,4.9166,6.9269,46.0111
