var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dist_limit,dateTime_X,dateTime_Y,diff_time,diff_time_limit,n,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
RHOW,HYPERNETS_vs_TRIOS_vs_20240808T065700_RHOW.csv,Hyp,TRIOS,23.229217,36.074616999999996,23.235899,36.072849,0.63,10,2024-08-08T08:57:00Z,2024-08-08T08:54:45Z,2,20,321,1.1172,0.9735,1.1146,1.1175,1.1204,4.6e-5,7.8e-5,1.1e-4,NA,TRUE,TRUE,0.001945,0.001388,16.8668,0.113788,0.127216,0.174362,0.113788,0.127216,0.174362,11.3788,12.7216,17.4362,11.3788,12.7216,17.4362
RHOW,HYPERNETS_vs_TRIOS_vs_20240808T065700_RHOW.csv,TRIOS,Hyp,23.235899,36.072849,23.229217,36.074616999999996,0.63,10,2024-08-08T08:54:45Z,2024-08-08T08:57:00Z,2,20,321,0.8946,1.0257,0.8925,0.8949,0.8972,-9.9e-5,-7e-5,-4.1e-5,NA,TRUE,TRUE,0.001945,0.001388,13.8852,-0.148474,-0.112859,-0.102163,0.102163,0.112859,0.148474,-17.4362,-12.7216,-11.3788,11.3788,12.7216,17.4362
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T073700_RHOW.csv,Hyp,TRIOS,22.401483,36.0163,22.400873,36.015972000000005,0.07,10,2024-08-09T09:37:00Z,2024-08-09T09:39:34Z,3,20,321,1.0266,0.9715,1.0247,1.0268,1.029,7.9e-5,1.05e-4,1.31e-4,NA,TRUE,TRUE,5.96e-4,4.27e-4,8.7091,0.027956,0.045513,0.084656,0.030386,0.045513,0.084656,2.7956,4.5513,8.4656,3.0705,4.5513,8.4656
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T073700_RHOW.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.401483,36.0163,0.07,10,2024-08-09T09:39:34Z,2024-08-09T09:37:00Z,3,20,321,0.9737,1.0273,0.9718,0.9739,0.9759,-1.28e-4,-1.03e-4,-7.7e-5,NA,TRUE,TRUE,5.96e-4,4.27e-4,7.1815,-0.078048,-0.043532,-0.027195,0.02979,0.043866,0.078048,-8.4656,-4.5513,-2.7956,3.0705,4.5513,8.4656
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T074500_RHOW.csv,Hyp,TRIOS,22.400667,36.01495,22.400873,36.015972000000005,0.12,10,2024-08-09T09:45:00Z,2024-08-09T09:39:34Z,5,20,321,1.017,0.9339,1.0153,1.0172,1.019,9.7e-5,1.19e-4,1.42e-4,NA,TRUE,TRUE,4.47e-4,3.27e-4,14.6515,0.020987,0.041384,0.123216,0.020987,0.041384,0.123216,2.0987,4.1384,12.3216,2.0987,4.1384,12.3216
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T074500_RHOW.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.400667,36.01495,0.12,10,2024-08-09T09:39:34Z,2024-08-09T09:45:00Z,5,20,321,0.983,1.0665,0.9813,0.9831,0.9849,-1.4e-4,-1.17e-4,-9.5e-5,NA,TRUE,TRUE,4.47e-4,3.27e-4,10.0368,-0.109699,-0.039739,-0.020556,0.020556,0.039739,0.109699,-12.3216,-4.1384,-2.0987,2.0987,4.1384,12.3216
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T080000_RHOW.csv,Hyp,TRIOS,22.4008,36.014333,22.400873,36.015972000000005,0.18,10,2024-08-09T10:00:00Z,2024-08-09T09:39:34Z,20,20,321,1.0795,1.0888,1.0777,1.0797,1.0817,-1.21e-4,-9.8e-5,-7.4e-5,NA,TRUE,TRUE,0.001275,9.01e-4,12.485,-0.184383,0.060627,0.07592,0.067422,0.081048,0.184383,-22.6065,6.0627,7.592,6.7422,8.1048,22.6065
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T080000_RHOW.csv,TRIOS,Hyp,22.400873,36.015972000000005,22.4008,36.014333,0.18,10,2024-08-09T09:39:34Z,2024-08-09T10:00:00Z,20,20,321,0.926,0.9163,0.9244,0.9262,0.9279,6.9e-5,9e-5,1.12e-4,NA,TRUE,TRUE,0.001275,9.01e-4,15.1267,-0.070563,-0.057160999999999997,0.226065,0.063183,0.075347,0.226065,-7.592,-6.0627,22.6065,6.7422,8.1048,22.6065
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T091500_RHOW.csv,Hyp,TRIOS,22.3931,36.0119,22.405568999999996,36.002848,1.51,10,2024-08-09T11:15:00Z,2024-08-09T11:32:22Z,17,20,321,1.0904,1.3609,1.0873,1.0909,1.0944,-4.27e-4,-3.86e-4,-3.44e-4,NA,TRUE,TRUE,0.001371,9.58e-4,27.8369,-0.617119,0.012849,0.065089,0.061272,0.085652,0.617119,-161.1776,1.2849,6.5089,6.1333,8.8442,161.1776
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T091500_RHOW.csv,TRIOS,Hyp,22.405568999999996,36.002848,22.3931,36.0119,1.51,10,2024-08-09T11:32:22Z,2024-08-09T11:15:00Z,17,20,321,0.9163,0.7083,0.9137,0.9167,0.9197,3.16e-4,3.53e-4,3.91e-4,NA,TRUE,TRUE,0.001371,9.58e-4,169.0385,-0.061111,-0.012686,1.611776,0.057788,0.082997,1.611776,-6.5089,-1.2849,161.1776,6.1333,8.8442,161.1776
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T093000_RHOW.csv,Hyp,TRIOS,22.385299999999997,36.0155,22.405568999999996,36.002848,2.31,10,2024-08-09T11:30:00Z,2024-08-09T11:32:22Z,2,20,321,0.9972,1.4433,0.9949,0.9975,1.0001,-5.69e-4,-5.35e-4,-5.01e-4,NA,FALSE,TRUE,6.53e-4,6.02e-4,30.9215,-0.711173,-0.117243,-0.025356,0.025795,0.117243,0.711173,-246.2275,-13.2815,-2.6015,2.6478,13.2815,246.2275
RHOW,HYPERNETS_vs_TRIOS_vs_20240809T093000_RHOW.csv,TRIOS,Hyp,22.405568999999996,36.002848,22.385299999999997,36.0155,2.31,10,2024-08-09T11:32:22Z,2024-08-09T11:30:00Z,2,20,321,1.0023,0.666,0.9999,1.0025,1.0052,5.03e-4,5.36e-4,5.69e-4,NA,FALSE,TRUE,6.53e-4,6.02e-4,251.3377,0.026015,0.132815,2.462275,0.026478,0.132815,2.462275,2.6015,13.2815,246.2275,2.6478,13.2815,246.2275
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T073600_RHOW.csv,Hyp,TRIOS,19.497817,35.983117,19.506292,35.982668999999994,0.77,10,2024-08-10T09:36:00Z,2024-08-10T09:33:54Z,2,20,321,1.0204,1.1668,1.0178,1.0207,1.0237,-8.97e-4,-8.5e-4,-8.04e-4,NA,TRUE,TRUE,7.23e-4,6.47e-4,15.7934,-0.348375,-0.080643,-0.01143,0.016371,0.080752,0.348375,-53.4625,-8.7716,-1.1562,1.6574,8.7716,53.4625
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T073600_RHOW.csv,TRIOS,Hyp,19.506292,35.982668999999994,19.497817,35.983117,0.77,10,2024-08-10T09:33:54Z,2024-08-10T09:36:00Z,2,20,321,0.9793,0.854,0.9768,0.9797,0.9826,7.9e-4,8.33e-4,8.76e-4,NA,TRUE,TRUE,7.23e-4,6.47e-4,23.6995,0.011562,0.087716,0.534625,0.016337,0.087716,0.534625,1.1562,8.7716,53.4625,1.6574,8.7716,53.4625
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T110400_RHOW.csv,Hyp,TRIOS,19.429983,35.909317,19.453936,35.913342,2.21,10,2024-08-10T13:04:00Z,2024-08-10T12:45:48Z,18,20,321,1.053,1.3375,1.0495,1.0537,1.0579,-7.94e-4,-7.37e-4,-6.81e-4,NA,TRUE,TRUE,9.14e-4,6.87e-4,27.9081,-0.609202,-0.108163,0.015146,0.023835,0.111423,0.609202,-155.8867,-12.1282,1.5146,2.3835,12.1282,155.8867
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T110400_RHOW.csv,TRIOS,Hyp,19.453936,35.913342,19.429983,35.909317,2.21,10,2024-08-10T12:45:48Z,2024-08-10T13:04:00Z,18,20,321,0.9484,0.7364,0.9453,0.9491,0.9528,0.00064899999999999995,7e-4,7.51e-4,NA,TRUE,TRUE,9.14e-4,6.87e-4,93.8308,-0.01492,0.121282,1.558867,0.02328,0.121282,1.558867,-1.5146,12.1282,155.8867,2.3835,12.1282,155.8867
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T111800_RHOW.csv,Hyp,TRIOS,19.402032999999996,35.909333000000004,19.361476,35.909326,3.66,10,2024-08-10T13:18:00Z,2024-08-10T13:37:03Z,19,20,321,0.999,1.3387,0.9966,0.9993,1.002,-0.001464,-0.001422,-0.001381,NA,FALSE,TRUE,0.001478,0.001441,30.1501,-0.620062,-0.213988,-0.049895,0.049895,0.213988,0.620062,-163.2008,-27.2245,-5.2516,5.2516,27.2245,163.2008
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T111800_RHOW.csv,TRIOS,Hyp,19.361476,35.909326,19.402032999999996,35.909333000000004,3.66,10,2024-08-10T13:37:03Z,2024-08-10T13:18:00Z,19,20,321,1.0004,0.7411,0.998,1.0007,1.0034,0.001385,0.001423,0.001461,NA,FALSE,TRUE,0.001478,0.001441,72.1708,0.052516,0.272245,1.632008,0.052516,0.272245,1.632008,5.2516,27.2245,163.2008,5.2516,27.2245,163.2008
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T113000_RHOW.csv,Hyp,TRIOS,19.374117000000002,35.909317,19.361476,35.909326,1.14,10,2024-08-10T13:30:00Z,2024-08-10T13:37:03Z,7,20,321,1.0112,1.2291,1.0087,1.0115,1.0142,-9.16e-4,-8.75e-4,-8.34e-4,NA,TRUE,TRUE,8.11e-4,7.73e-4,22.7663,-0.49592,-0.129033,-0.0244,0.024744,0.129033,0.49592,-98.3814,-14.8149,-2.501,2.5372,14.8149,98.3814
RHOW,HYPERNETS_vs_TRIOS_vs_20240810T113000_RHOW.csv,TRIOS,Hyp,19.361476,35.909326,19.374117000000002,35.909317,1.14,10,2024-08-10T13:37:03Z,2024-08-10T13:30:00Z,7,20,321,0.9884,0.81,0.986,0.9887,0.9913,8.27e-4,8.65e-4,9.03e-4,NA,TRUE,TRUE,8.11e-4,7.73e-4,43.2018,0.02501,0.148149,0.983814,0.025168,0.148149,0.983814,2.501,14.8149,98.3814,2.5372,14.8149,98.3814
